,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2000-04-12,2000-04-12,2000-04-12,2000-04-12,2000-04-12,2000-04-12,2000-04-12,2000-05-15,2000-05-15,2000-05-15,2000-05-15,2000-05-15,2000-05-15,2000-05-15
End,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31
Period,6242 days 00:00:00,6242 days 00:00:00,6242 days 00:00:00,6242 days 00:00:00,6242 days 00:00:00,6242 days 00:00:00,6242 days 00:00:00,6222 days 00:00:00,6222 days 00:00:00,6222 days 00:00:00,6222 days 00:00:00,6222 days 00:00:00,6222 days 00:00:00,6222 days 00:00:00
Total Return [%],-50.4772844717076,-52.30106428297976,-56.705824342409336,-55.00628354091798,-50.46118517409883,-48.645643778890125,-47.5211883999329,-32.454026317259114,4.767975627660862,-12.634742496527789,-19.253144689054984,-35.07561544148236,-23.779530251935704,5.026706859998704
Benchmark Return [%],28.692452153311308,28.692452153311308,28.692452153311308,28.692452153311308,28.692452153311308,28.692452153311308,28.692452153311308,30.8161362501346,30.8161362501346,30.8161362501346,30.8161362501346,30.8161362501346,30.8161362501346,30.8161362501346
Annualized Return [%],-4.721240587187021,-5.017984327039119,-5.773669406946979,-5.472373041125877,-4.716085808579871,-4.448704475163283,-4.302680140495927,-2.593429665020851,0.18649942794166968,-0.9550774526797455,-1.4070614865998112,-2.834876056434918,-1.7750290894669842,0.02050900103112317
Annualized Volatility [%],13.846358863012508,13.92788798519453,13.65392158400981,13.728098501552452,13.880380348856777,13.869926329340585,14.012001015298774,14.032824845734963,14.00147723337365,14.006096668632539,14.162544987905818,14.099602671382646,14.304610530152019,15.451261494436002
Max Drawdown [%],63.15964463925588,64.91235790206449,69.08112475372033,67.51127876985291,63.18092827027166,61.606447284599696,59.1989990855447,46.889459034966535,37.58058989677652,42.91220145077062,40.378765702214075,49.12926222589589,40.21004937749873,45.7596349835875
Max Drawdown Duration,5779 days 13:42:51.428571456,5779 days 13:42:51.428571456,5779 days 13:42:51.428571456,5779 days 13:42:51.428571456,5779 days 13:42:51.428571456,5779 days 13:42:51.428571456,5788 days 20:34:17.142857152,5415 days 06:51:25.714285696,3335 days 17:08:34.285714272,4938 days 10:17:08.571428544,5788 days 17:08:34.285714304,5781 days 00:00:00,5788 days 06:51:25.714285696,3982 days 13:42:51.428571456
Sharpe Ratio,-0.3266264618020616,-0.34842280288271915,-0.42650819774570276,-0.3965822284767452,-0.3248752632869901,-0.3027112947766843,-0.2849575828015524,-0.14462145142293267,0.07699407202606665,-0.013603885685454533,-0.04642562407946976,-0.16253280698732334,-0.07332425263563083,0.05925887511680995
Calmar Ratio,-0.07164415055185824,-0.07367267300270941,-0.0789758117611444,-0.07679789241801693,-0.0715586140304759,-0.0695232355029001,-0.0704102145923755,-0.055944769448670086,0.003955334110437007,-0.021650312129138278,-0.038049470191104676,-0.058251309430536434,-0.047429064224184116,0.0069961304467749934
Omega Ratio,0.9379581537476731,0.9344414299081043,0.9213959310122538,0.9268146866000323,0.939273547976784,0.9433054683637117,0.9461234076710909,0.9717023912355,1.0139552278316268,0.9966485087890432,0.990320838318907,0.9681996108480637,0.9849380885469801,1.0094276369782142
Sortino Ratio,-0.43580044855218647,-0.46442911066747644,-0.5699180819628973,-0.5297016580997683,-0.43614827717482074,-0.40729795580808403,-0.38360295841463465,-0.1978726236095374,0.10746130120876611,-0.01776392814112998,-0.0640317392187017,-0.22264725548081857,-0.10189540656727128,0.08576281613821173
Skew,-0.521506867807828,-0.5173535559137187,-0.4160683857049588,-0.42076878059500766,-0.41788587993111653,-0.40412809198394634,-0.43167984604302767,-0.1756604596241654,-0.32268129547702024,-0.32763415513283567,-0.21304305825909456,-0.18312483454907216,0.06602230981164021,-0.30535056106607883
Kurtosis,8.703551923944415,8.52731968601111,7.617670666681358,7.678154278421351,7.802010180257975,7.7751952393375365,8.538603902057028,10.942229644240596,8.031545150275422,7.974089552912766,8.778951204231593,10.850383340346974,13.502543028625194,17.479440083265896
Tail Ratio,0.9230221019405764,0.9207456945432756,0.9123980152082061,0.9098510074217077,0.9230693389207355,0.9265303949036449,0.9342555920539538,0.9506514894533905,0.9711751428857189,0.9586832568384306,0.9564992208947392,0.9451639489947741,0.9509161943803492,0.9874550181832992
Common Sense Ratio,0.8799255391642394,0.8751027349470479,0.8604092634695781,0.8607782941855889,0.8800227990412351,0.8857416704941307,0.8944278116998026,0.9261664195086504,0.9730317965194105,0.9496440593657306,0.9431422585898742,0.9185560703705574,0.9341776802542336,0.9880158404601602
Value at Risk,-0.01165730331295071,-0.011742566904198415,-0.011757394118982958,-0.011745192500996036,-0.011803088327723128,-0.011777204815076584,-0.011767712958959734,-0.0116787986948977,-0.011602230220746008,-0.011678586268773642,-0.011801972681134523,-0.011719060004531085,-0.011775160841085097,-0.012130220210156797
Alpha,-0.053013036423772655,-0.05602779365655137,-0.06340860012154155,-0.06044766092507289,-0.05301501850694136,-0.05034862186400165,-0.04898803319923025,-0.03257736986624225,-0.004947586388609403,-0.016295899977189023,-0.02094764208255343,-0.03506370635459176,-0.024739032641211356,-0.008265444580289438
Beta,0.4189814046431267,0.42331885162924693,0.41042017860788665,0.41386073750993585,0.42145425141985093,0.42097167312273925,0.42822461506554116,0.4340912939010749,0.43370459640991543,0.4336699403992011,0.4428506113299552,0.4384370915876163,0.450569452646765,0.5375199285258652
