,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2001-12-17,2001-12-17,2001-12-17,2001-12-17,2001-12-17,2001-12-17,2001-12-17,2002-01-17,2002-01-17,2002-01-17,2002-01-17,2002-01-17,2002-01-17,2002-01-17
End,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31
Period,5673 days 00:00:00,5673 days 00:00:00,5673 days 00:00:00,5673 days 00:00:00,5673 days 00:00:00,5673 days 00:00:00,5673 days 00:00:00,5653 days 00:00:00,5653 days 00:00:00,5653 days 00:00:00,5653 days 00:00:00,5653 days 00:00:00,5653 days 00:00:00,5653 days 00:00:00
Total Return [%],112.31355201637136,109.63292559146126,137.95490539769818,124.04416101344091,147.7313034343541,167.92935069618895,112.39686932424742,129.1197041284077,252.9620180441496,226.06781736790415,132.4078731771837,156.4949814304289,145.9228260589015,51.63436449360903
Benchmark Return [%],74.95494192595173,74.95494192595173,74.95494192595173,74.95494192595173,74.95494192595173,74.95494192595173,74.95494192595173,82.13401959111918,82.13401959111918,82.13401959111918,82.13401959111918,82.13401959111918,82.13401959111918,82.13401959111918
Annualized Return [%],4.934882121778429,4.807626003777279,5.52695757254544,5.218582134526528,5.950234579851833,6.433958919295457,4.912308686384954,5.45882486518751,8.259115738064807,7.705915417569911,5.487488894486133,6.1777380842183405,5.849319911410184,1.8758062687645112
Annualized Volatility [%],18.523314258639942,18.347211682955322,18.48954456700994,18.46883351999702,18.58365914798124,18.59236891323604,18.62600744735337,18.649453319785742,18.411601644100465,18.394384740027363,18.355554168547247,18.5767725862566,18.280610458029322,20.975939603131206
Max Drawdown [%],43.11587221501702,43.548735089062426,41.4025133553269,42.388840214302434,42.04353236569871,40.17343695651248,45.02969251875688,43.70223839240781,35.62638080777759,35.33207270664504,46.31006044303659,42.03321714521234,38.30477370729506,56.468518555303426
Max Drawdown Duration,1954 days 10:17:08.571428576,1853 days 20:34:17.142857152,2079 days 10:17:08.571428576,2113 days 00:00:00,1816 days 13:42:51.428571424,1807 days 17:08:34.285714272,2101 days 00:00:00,1825 days 17:08:34.285714272,1694 days 20:34:17.142857152,1642 days 13:42:51.428571424,1821 days 03:25:42.857142848,1816 days 13:42:51.428571424,1827 days 10:17:08.571428576,2459 days 03:25:42.857142848
Sharpe Ratio,0.3641059549432432,0.3581069593745229,0.396999949094429,0.3801844898903663,0.41956086419080035,0.4458924770880913,0.36155709164483735,0.3906744739767043,0.5483093504491858,0.5183279218672607,0.39641784364511656,0.4314843429158752,0.4173156749544468,0.17940791306819462
Calmar Ratio,0.12054813988508177,0.1175209372582297,0.14548242048866786,0.13145278688418452,0.15085875902063225,0.1729582116689992,0.1158644382141073,0.13261623601201553,0.2632450311981234,0.24912266441684142,0.13005931732506637,0.15582033437056317,0.1717796039795969,0.03918985614097055
Omega Ratio,1.0730956257889657,1.0722210813612452,1.0800553042212035,1.0762560370018108,1.0840533912419295,1.0896998799123812,1.0724386921754865,1.0785679505898318,1.114297616368796,1.1078831105536349,1.0811505286621836,1.0883296236018096,1.0860348437327207,1.0365625323937806
Sortino Ratio,0.5228468482961539,0.5150396503951858,0.5770103605346455,0.548250847218617,0.6053855165590035,0.6453513072078094,0.5216248956541102,0.5689344557855726,0.8049846402401061,0.763154903546644,0.5772611490804295,0.6301695780839498,0.6087886136917428,0.26164356708972497
Skew,-0.014779932502101316,-0.006718806248190133,0.11009152041560206,0.03935855234889961,0.021319582506169506,0.04299561948358501,0.030467612249240324,0.13038546313936553,0.12329474008014955,0.18409662059317164,0.10917188060404706,0.15082123276526796,0.11995264157387088,0.21830889535559267
Kurtosis,9.124746480891575,9.448772508431775,9.319786693591746,9.225569930419,8.791130946519097,8.757964496610748,8.992719468452105,9.2905942233874,9.43728595316399,9.925297678712164,9.5870098122538,9.576614289539553,9.763221530671489,13.340398540219379
Tail Ratio,0.9990414750340761,1.0090049090992115,1.0081405678763402,1.001007244449916,1.0158333383762959,1.0188208037527113,1.005096574940475,1.0276064986822335,1.0455619457951553,1.041038008296282,1.0269436907268843,1.024575214283328,1.0216007802386828,0.9917575746786381
Common Sense Ratio,1.0484037933205839,1.0577263341243308,1.0641806596284964,1.0534458678733254,1.0764562439427319,1.08467208226383,1.054588704929342,1.0838435095378594,1.1325263183462344,1.1218518534088715,1.0836242988411886,1.088093671188507,1.0816627712314333,1.0116166685203531
Value at Risk,-0.015866568936355848,-0.015523838645162982,-0.015673210456833234,-0.015704958621444887,-0.015904166601340607,-0.01592039856524884,-0.015934689320610363,-0.015770051283548674,-0.01535243598348324,-0.015319678732728593,-0.015297795215783684,-0.015638938786429555,-0.015327276305606838,-0.017282314412918092
Alpha,0.032209292619249257,0.0312255382897216,0.03804208361448253,0.03502425319490722,0.042058499269085545,0.046800935119244325,0.031814949105141266,0.03566583984121311,0.06357451017645419,0.05815605955966314,0.036361828425940566,0.04280967698796185,0.040074399814542715,-0.004412883321805973
Beta,0.4647928339526147,0.45720707041230557,0.4640044906461848,0.4632674854021562,0.4683301469602614,0.4688938750112781,0.4693554148209908,0.4724670195932647,0.4633469270859943,0.46251669181200644,0.46082222536492606,0.4701072708714028,0.4573256252874201,0.5924013115846195
