,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2000-04-14,2000-04-14,2000-04-14,2000-04-14,2000-04-14,2000-04-14,2000-04-14,2000-05-15,2000-05-15,2000-05-15,2000-05-15,2000-05-15,2000-05-15,2000-05-15
End,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31
Period,6217 days 00:00:00,6217 days 00:00:00,6217 days 00:00:00,6217 days 00:00:00,6217 days 00:00:00,6217 days 00:00:00,6217 days 00:00:00,6197 days 00:00:00,6197 days 00:00:00,6197 days 00:00:00,6197 days 00:00:00,6197 days 00:00:00,6197 days 00:00:00,6197 days 00:00:00
Total Return [%],86.9316701593854,66.09583776485621,77.36156025077717,94.08598816367144,101.22930501503552,90.8694888956342,108.13716239581572,112.87241021709802,253.891117227894,213.63171154707817,193.88861730782378,130.95810016035702,205.5404625147573,87.35555772588896
Benchmark Return [%],333.56944246976747,333.56944246976747,333.56944246976747,333.56944246976747,333.56944246976747,333.56944246976747,333.56944246976747,304.97052673816285,304.97052673816285,304.97052673816285,304.97052673816285,304.97052673816285,304.97052673816285,304.97052673816285
Annualized Return [%],3.198900379529955,2.1732515114390196,2.7723791430896156,3.4914755822430945,3.752867343606682,3.3571749226694036,3.972787779274202,4.254679223200038,7.677194686047073,6.838422644396295,6.453989659509588,4.79551116757144,6.636444117556541,3.1331318802221717
Annualized Volatility [%],14.634321257652546,13.966907110335228,14.370113868777258,14.493431401996336,14.668720942832804,14.631835126909891,14.539837589416114,15.053139977879734,15.371886155225676,14.84914100916615,14.403804488492776,15.011881463973541,15.604940466250557,16.463258608574336
Max Drawdown [%],37.294292850732894,38.93711953142719,42.65916241672225,37.65541109909659,33.032846805068246,34.83740899652754,36.95150654437184,38.48181668075716,34.24195991774827,34.79346033680668,34.43128325888578,36.92354887605014,34.33287880151552,52.79318499069431
Max Drawdown Duration,3544 days 17:08:34.285714304,3392 days 10:17:08.571428544,3660 days 00:00:00,2830 days 13:42:51.428571424,2986 days 13:42:51.428571424,3039 days 17:08:34.285714272,2766 days 10:17:08.571428576,2731 days 00:00:00,1535 days 10:17:08.571428576,1857 days 00:00:00,2163 days 06:51:25.714285728,2678 days 00:00:00,1814 days 03:25:42.857142848,3482 days 06:51:25.714285696
Sharpe Ratio,0.2696827467271444,0.19091023682996822,0.23941798187364446,0.2927015515589531,0.310272106493235,0.2813575873145345,0.3275565462042714,0.3434001643427519,0.5692764088461603,0.5284803741959636,0.5139661143512829,0.3817846504837131,0.49291822528796203,0.25301427451884856
Calmar Ratio,0.07932712957410153,0.04883753653162927,0.06260384844232368,0.08735579055140655,0.10797942008024553,0.08957221916396593,0.10807137858231322,0.10905356072704844,0.23609657887785837,0.20692823143727437,0.1928492491987317,0.12923085003192877,0.20385710874055052,0.06110987288518661
Omega Ratio,1.0492047956231216,1.035308738396898,1.0435977567086911,1.053340033228136,1.056481404443847,1.0510181161618035,1.060510268791701,1.0633139113155716,1.1069202949661316,1.1000910148730731,1.0999538364372694,1.0701357487995422,1.0900290882886667,1.0530368958616825
Sortino Ratio,0.3724631960151102,0.2641472673781157,0.3312606272042161,0.40455948942492265,0.42929247421112604,0.38915468207996134,0.45295975413652323,0.4790792512649853,0.8045015313424209,0.7438246020563127,0.7258643657677114,0.5317698761217268,0.6915691394625314,0.3540549998587935
Skew,-0.38774424607492153,-0.47226395865303905,-0.38404327604770466,-0.37237761108046236,-0.3500924338536281,-0.36184071499802173,-0.4270356410123322,-0.23709939459463727,-0.18136618435453022,-0.21239664688208687,-0.1525400951876576,-0.32376521203123393,-0.24868935108514686,-0.18365120939439344
Kurtosis,7.8111450237330144,9.298943134798014,7.931642162558225,7.9070730640989675,7.762153157053512,7.6533957583566385,7.82989062460147,8.977549674901079,8.207171606112789,8.532015011176153,9.307116352769118,7.508920848978835,7.434387478611414,17.40763680530117
Tail Ratio,0.9586674130055849,0.9688616625368688,0.9644521756544762,0.9675939530642325,0.9606727382833852,0.9584851482740868,0.9817314353690946,0.9749758065705364,0.9907070244610744,0.9971833886940551,1.010161428466393,0.9799347140701347,0.9800898959170465,0.9691860278533432
Common Sense Ratio,0.9890102830218936,0.9894626805907987,0.9908071416096582,1.0009883302685645,0.9964390929584096,0.9903462803833072,1.0203191191862298,1.0160699912387723,1.06668590644868,1.0652474747821865,1.0750545719022364,1.026579964450763,1.0450173498422695,0.9995437715542942
Value at Risk,-0.012379234179472797,-0.011588921283300383,-0.012118594705670093,-0.012187456849034098,-0.012388999007139348,-0.012385894282016247,-0.01215964233551768,-0.012543117208699573,-0.012777524415200244,-0.012278642078017559,-0.011750037050681108,-0.012572118234959032,-0.013107457953981827,-0.01308454265936752
Alpha,-0.004274003475132991,-0.011747522756894946,-0.007385718080954736,-0.0009399997356222624,0.000904245086881266,-0.0027534822042141033,0.003659374630115992,0.005406749354975061,0.037035564456689714,0.031238301000649695,0.02928142542203776,0.010735738189223147,0.025915422991396757,-0.012292835179308141
Beta,0.4142056253028804,0.3840827936851588,0.401880171879108,0.4082463512159934,0.41648953309807457,0.4143322174578185,0.4095641152991772,0.4394566031048483,0.4578285517636796,0.43052837304404284,0.40937374985372593,0.4383284853252719,0.46993013996408106,0.5218643682521469
