,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2007-01-04,2007-01-04,2007-01-04,2007-01-04,2007-01-04,2007-01-04,2007-01-04,2007-02-05,2007-02-05,2007-02-05,2007-02-05,2007-02-05,2007-02-05,2007-02-05
End,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30
Period,4394 days 00:00:00,4394 days 00:00:00,4394 days 00:00:00,4394 days 00:00:00,4394 days 00:00:00,4394 days 00:00:00,4394 days 00:00:00,4374 days 00:00:00,4374 days 00:00:00,4374 days 00:00:00,4374 days 00:00:00,4374 days 00:00:00,4374 days 00:00:00,4374 days 00:00:00
Total Return [%],176.17854246745716,188.60853540603836,161.31826422317764,167.88991973611905,202.55680370337433,164.1227100119713,118.71879416827885,263.003202176656,496.2473135804627,355.881039654345,310.7912197804108,248.96443696254195,266.12553182553216,96.20245681772154
Benchmark Return [%],173.24625170376925,173.24625170376925,173.24625170376925,173.24625170376925,173.24625170376925,173.24625170376925,173.24625170376925,165.60747250806205,165.60747250806205,165.60747250806205,165.60747250806205,165.60747250806205,165.60747250806205,165.60747250806205
Annualized Return [%],8.76597467866472,9.134153988596012,8.268322033526966,8.488827845236296,9.610473701506878,8.3842353686334,6.6495192509752234,11.21441560331066,15.618269377469074,13.120293306404536,12.326986713758744,10.859849014211504,11.257724771012148,4.352747176949204
Annualized Volatility [%],21.30890815368851,21.316474984209112,21.37807498135795,21.086255205286704,21.21341537018554,21.265656506788016,21.414898484262807,22.180687057058208,22.022961529290875,21.915781282954224,21.871361442162367,22.000510540078714,21.58004329357656,24.149578702014537
Max Drawdown [%],38.184826763409056,38.64933112595768,37.911788638271105,40.258902442259725,39.595781558396695,41.50136151438458,40.76684697461138,35.013614100811104,30.262767101566208,37.39297328621768,31.44780097730133,35.76985577796536,37.1656518597625,53.36680942918752
Max Drawdown Duration,1934 days 00:00:00,1921 days 00:00:00,1834 days 10:17:08.571428576,1946 days 10:17:08.571428576,1890 days 13:42:51.428571424,2056 days 20:34:17.142857152,2075 days 06:51:25.714285728,1597 days 03:25:42.857142864,1389 days 06:51:25.714285712,1642 days 03:25:42.857142864,1505 days 20:34:17.142857136,1592 days 03:25:42.857142864,1761 days 20:34:17.142857152,2713 days 06:51:25.714285728
Sharpe Ratio,0.5138557230971332,0.5309030445324733,0.4891574674520381,0.5041922342278672,0.5554228793433089,0.49645968515067046,0.411558340480895,0.6081222319517714,0.8014719303473582,0.6971841404431532,0.6641922115708941,0.597020006292776,0.6239837872561403,0.2869209438404656
Calmar Ratio,0.24240818678622283,0.25256909009994916,0.22827408633487997,0.21842371903205712,0.2539585203666158,0.20772620927466803,0.16675531209107144,0.34684994354638615,0.6007354831185373,0.38063509758801517,0.4403692841538218,0.32988149735115874,0.33269546646328824,0.09097739045401074
Omega Ratio,1.1018774557956983,1.104792070148507,1.0959199715067138,1.0998124878607547,1.1103420662519965,1.0975252223060994,1.0798240994505812,1.1211959829817626,1.1658842544985262,1.1421827773769413,1.1354020767766524,1.1192610682939461,1.1261886394956213,1.0574388533676617
Sortino Ratio,0.7421402656729726,0.7687726341653915,0.7054602748879024,0.7273205108466427,0.8043305553649328,0.7153343351722838,0.5909620835357704,0.8926800324886602,1.1867186796749185,1.0242021242926898,0.9761446981070144,0.8734078488109106,0.9185476922131155,0.4177015446068868
Skew,-0.04075873626638465,-0.012121041631203363,-0.03202472815589497,-0.03222089363864865,-0.019513978975836038,-0.045143167222945965,-0.039359724394127556,0.13159623928851485,0.13184705193903598,0.06021657135342915,0.12749866788145964,0.07600694835208631,0.16861896249370698,-0.04184977366309649
Kurtosis,7.806563431453545,7.558494878750777,7.55135500513409,7.724939368951164,7.639354988051541,7.52768260485792,7.907043679091943,8.265769453423134,8.362098822280526,8.13047312314053,8.899717708471288,8.143247861499352,8.464097186674891,19.506250666457127
Tail Ratio,1.0365895046774414,1.0403756816211136,1.0413759203006347,1.036589515125694,1.0430119534994307,1.041706132741919,1.0228137405075748,1.0634138714734367,1.071939611296809,1.0731975067628834,1.0642899443231253,1.0702881021563204,1.0584925563308025,1.0307928566419893
Common Sense Ratio,1.1275296301527964,1.1355402190311465,1.1274798911850092,1.1245814918608423,1.1433860923876995,1.1290473449046134,1.0906424645840782,1.18315169910984,1.2407082048590536,1.2151286770500924,1.1962085223666605,1.1870499370528758,1.1783608634219387,1.0763873745497086
Value at Risk,-0.017654384537842214,-0.017633050061423433,-0.01774725082318122,-0.017553641517994854,-0.01756275639270724,-0.017651605973897068,-0.01777879490111518,-0.017925250194286122,-0.01773794911394765,-0.01767909146559395,-0.017690652190908755,-0.017726127015883823,-0.017600643872197643,-0.01874283261828253
Alpha,0.04791247005648696,0.05145999553809515,0.04276638477494526,0.04586524357987628,0.05637658387519097,0.044317018947405175,0.027051761451563072,0.0693573996900694,0.11241577820744701,0.08862488471173709,0.08106694856631405,0.06649438665220342,0.07172724268846949,-0.004129555626649882
Beta,0.44992239921947835,0.45018321490790697,0.45311654864909195,0.4422229073468897,0.4466851268674995,0.44851675822120546,0.453705677786083,0.48514671663569403,0.47992463543909786,0.47569997589694346,0.4741174254517425,0.478664014176083,0.46272324655665614,0.5714749905463902
