,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2003-06-20,2003-06-20,2003-06-20,2003-06-20,2003-06-20,2003-06-20,2003-06-20,2003-07-18,2003-07-18,2003-07-18,2003-07-18,2003-07-18,2003-07-18,2003-07-18
End,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31
Period,5231 days 00:00:00,5231 days 00:00:00,5231 days 00:00:00,5231 days 00:00:00,5231 days 00:00:00,5231 days 00:00:00,5231 days 00:00:00,5211 days 00:00:00,5211 days 00:00:00,5211 days 00:00:00,5211 days 00:00:00,5211 days 00:00:00,5211 days 00:00:00,5211 days 00:00:00
Total Return [%],346.29041166949327,227.51553743588718,231.64110782334484,273.0733506653737,231.05529031338588,260.9515552622899,405.60719406141595,452.49695578554866,618.0835860711701,589.3651568716557,442.7309111719465,438.94906677056997,332.87801841825393,110.13922697743213
Benchmark Return [%],119.14539047224574,119.14539047224574,119.14539047224574,119.14539047224574,119.14539047224574,119.14539047224574,119.14539047224574,122.38903101896946,122.38903101896946,122.38903101896946,122.38903101896946,122.38903101896946,122.38903101896946,122.38903101896946
Annualized Return [%],10.719003074939693,8.39360973291286,8.61290053751156,9.473129639454498,8.619682939132021,9.226519459094144,11.63947024439698,12.242394418936367,14.16691188650744,13.810273501522778,12.13645422720471,12.073389470918963,10.529238284310582,3.8982426713542964
Annualized Volatility [%],20.431865495224393,20.455976111006578,20.37292209902723,20.145670491332144,20.218539211895635,20.1831330450313,20.26471191261843,20.412576622799712,20.302578386097373,20.4033457205416,20.304355520872,20.602144650349853,20.449966056563422,20.33034100458131
Max Drawdown [%],41.02612196208232,45.63091938845055,52.13777292728893,47.89254227652071,45.69270178531733,45.625216409260474,39.25591623426651,38.70961851275772,37.59912228984233,38.045022008746784,38.825818191326505,41.576399550806286,43.83282303175663,57.030913381535136
Max Drawdown Duration,2572 days 13:42:51.428571424,2572 days 03:25:42.857142848,2572 days 13:42:51.428571424,2586 days 20:34:17.142857152,2586 days 20:34:17.142857152,2586 days 20:34:17.142857152,2431 days 06:51:25.714285728,1863 days 03:25:42.857142848,1573 days 00:00:00,2197 days 13:42:51.428571424,2227 days 00:00:00,1699 days 06:51:25.714285728,2495 days 06:51:25.714285728,3351 days 20:34:17.142857152
Sharpe Ratio,0.6209821735084103,0.5105616383276141,0.5225846931172327,0.5685006759344652,0.525727812370147,0.555710356451764,0.6687290425482602,0.6918981981142454,0.7845453113114546,0.7641724677094927,0.6898928393812183,0.6795727373616561,0.6116987996575208,0.28980276102457186
Calmar Ratio,0.291857607694802,0.1987522990675882,0.17413230192828025,0.21243485934435916,0.20126171469716805,0.21767723729567906,0.3322532088774901,0.36721861254342975,0.4423076491037257,0.41728245992803875,0.35696565435106203,0.3284827040626722,0.26277222463808214,0.07996082852130607
Omega Ratio,1.1387411320493737,1.1112411003291065,1.114236315691374,1.1257993432113322,1.11568300769706,1.122544752161444,1.1516541693745392,1.1536578173673881,1.178626728062714,1.1748917313844196,1.1558877257505455,1.1507760264216287,1.1373211871638753,1.0623381834536934
Sortino Ratio,0.8703449520369124,0.7092833711019993,0.7248647625846614,0.7883200528200706,0.7290395988598847,0.7722381174505882,0.9374029418417137,0.9790226406919139,1.1042766185993023,1.0781402775343443,0.9665173992993925,0.953890950642539,0.8521338801474062,0.41071551103020526
Skew,-0.586678013220682,-0.6431727121693838,-0.6379803282964174,-0.672643721582391,-0.655530755147376,-0.6287988715625394,-0.616815434929796,-0.5120344791696771,-0.6654670044805785,-0.5948441940751644,-0.6471971400041348,-0.605693984897391,-0.6845344788942548,-0.4487025132607985
Kurtosis,10.977766804175928,10.7611010255546,10.506443118010486,10.756632874360227,10.734579449570111,10.522962764451677,11.091389109674184,10.455333312754744,10.706306182569728,11.147655567440287,11.036006720174797,10.697402429803189,11.274262936609063,10.721136522791102
Tail Ratio,1.136511191623519,1.1112389428515137,1.103938969221895,1.103788429528407,1.105276420383779,1.1018657442950244,1.1402085375437803,1.1635793135964332,1.1632191493820585,1.1648448372410412,1.144846910367074,1.1497500691497264,1.1340491222573819,1.0796109722181597
Common Sense Ratio,1.2594701400675834,1.2051966873789701,1.1995297364118855,1.2088990127349601,1.2009773685466525,1.2040275153379043,1.2741960967569852,1.3078502711705797,1.3302084050295437,1.3280882448833091,1.2854655022365333,1.2902553697049832,1.254472702690236,1.1245508835360085
Value at Risk,-0.015470884520623392,-0.015736202367102662,-0.01579902156212159,-0.01557104069989563,-0.015554415267555941,-0.015629592543835773,-0.015318667076271128,-0.015456461938156767,-0.015330281209041115,-0.015279161435744806,-0.015301681089202537,-0.01566641301017458,-0.015423044396359633,-0.015860830795292692
Alpha,0.07598998465175225,0.05327422953643673,0.05557422703328142,0.06460646780387432,0.05610801716518957,0.062088257873359635,0.08543730291814255,0.0900210296199704,0.10908625230667403,0.1053190957650986,0.0892563114784585,0.0878187746011766,0.07321673482656721,0.008736152512462863
Beta,0.5296172041365484,0.5305210599920263,0.5272155633435139,0.5163872146410204,0.5194460077958442,0.5181628158083066,0.5218350343949154,0.5297840010409451,0.5250699005827204,0.5296284114708892,0.5252411584538632,0.5390057509719939,0.5317236430072231,0.5285110409002141
