Date,open,high,low,close,volume
2008-05-29,11909.08,11909.08,11829.65,11884.77,5526000.0
2008-06-01,11884.77,12055.74,11884.77,12049.76,9945000.0
2008-06-02,12049.76,12069.05,11989.51,11991.42,7532000.0
2008-06-03,11991.42,12019.97,11988.52,12012.57,8319000.0
2008-06-04,12012.57,12051.31,12007.92,12050.71,8063000.0
2008-06-05,12050.71,12117.15,12044.88,12115.84,8474000.0
2008-06-08,12115.84,12293.7,12107.19,12289.96,11798000.0
2008-06-09,12289.96,12461.15,12289.96,12456.53,15774000.0
2008-06-10,12456.53,12555.96,12437.7,12513.65,11074000.0
2008-06-11,12513.65,12636.85,12502.42,12627.32,10420000.0
2008-06-12,12627.32,12627.32,12440.27,12443.41,8084000.0
2008-06-15,12443.41,12453.4,12406.67,12433.39,7220000.0
2008-06-16,12433.39,12511.42,12412.28,12499.38,6294000.0
2008-06-17,12499.38,12501.39,12396.59,12396.59,12405000.0
2008-06-18,12396.59,12396.59,12288.39,12288.39,10077000.0
2008-06-19,12288.39,12288.39,12085.94,12089.42,6702000.0
2008-06-22,12089.42,12270.68,12058.63,12268.16,6740000.0
2008-06-23,12268.16,12358.13,12268.16,12294.45,5224000.0
2008-06-24,12294.45,12297.03,12135.93,12136.5,4592000.0
2008-06-25,12136.5,12136.66,12087.38,12087.38,4353000.0
2008-06-26,12087.38,12087.38,11869.9,11875.09,5324000.0
2008-06-29,11875.09,11896.49,11746.14,11746.14,4561000.0
2008-06-30,11746.14,11863.86,11612.54,11863.86,6844000.0
2008-07-01,11863.86,12040.84,11863.86,12038.56,4242000.0
2008-07-02,12038.56,12169.43,12038.56,12169.16,5977000.0
2008-07-03,12169.16,12216.65,12134.8,12161.15,4998000.0
2008-07-06,12161.15,12230.23,12066.77,12066.77,7203000.0
2008-07-07,12066.77,12066.77,11952.76,11954.64,3675000.0
2008-07-08,11954.64,11954.64,11897.06,11897.06,3596000.0
2008-07-09,11897.06,11899.24,11826.48,11854.52,3797000.0
2008-07-10,11854.52,11891.0,11751.1,11751.1,6833000.0
2008-07-13,11751.1,11751.38,11411.5,11541.61,8023000.0
2008-07-14,11541.61,11815.52,11541.61,11792.87,8631000.0
2008-07-15,11795.42,11821.47,11728.67,11751.91,8303000.0
2008-07-16,11751.91,11751.91,11618.81,11618.81,4727000.0
2008-07-17,11618.81,11620.04,11543.28,11614.38,4566000.0
2008-07-20,11614.38,11722.02,11598.04,11707.55,5447000.0
2008-07-21,11707.55,11781.69,11707.55,11780.35,5250000.0
2008-07-22,11780.35,11863.79,11780.35,11851.02,6870000.0
2008-07-23,11851.02,11851.02,11765.03,11766.83,8329000.0
2008-07-24,11766.83,11783.72,11743.04,11782.63,6100000.0
2008-07-27,11782.63,11787.5,11749.95,11758.06,6031000.0
2008-07-28,11758.06,11758.06,11712.47,11714.38,4094000.0
2008-07-29,11714.38,11714.38,11557.99,11557.99,3821000.0
2008-07-30,11557.99,11584.64,11514.21,11567.61,3062000.0
2008-07-31,11567.61,11634.54,11567.61,11633.42,3855000.0
2008-08-03,11633.42,11638.2,11589.15,11611.7,5181000.0
2008-08-04,11611.7,11620.02,11581.14,11620.02,4456000.0
2008-08-05,11620.02,11627.11,11548.68,11551.57,3536000.0
2008-08-06,11551.57,11568.37,11524.36,11525.47,2360000.0
2008-08-07,11525.47,11525.47,11502.38,11506.22,2569000.0
2008-08-10,11506.22,11544.54,11297.86,11297.86,5187000.0
2008-08-11,11297.86,11297.86,11016.66,11020.02,6790000.0
2008-08-12,11020.02,11097.13,11020.02,11030.66,5506000.0
2008-08-13,11030.66,11125.95,10981.73,11087.01,3625000.0
2008-08-14,11087.01,11087.01,11019.07,11019.07,4065000.0
2008-08-17,11019.07,11019.07,10925.07,10932.43,3063000.0
2008-08-18,10932.43,11091.94,10932.15,11091.94,3315000.0
2008-08-19,11091.94,11165.74,11087.3,11138.69,4972000.0
2008-08-20,11138.69,11167.88,11101.62,11101.62,4884000.0
2008-08-21,11101.62,11101.62,10878.55,10878.93,7426000.0
2008-08-24,10878.93,10906.59,10854.42,10858.6,3656000.0
2008-08-25,10858.6,10869.04,10701.81,10701.92,3365000.0
2008-08-26,10701.92,10702.25,10374.35,10397.3,7055000.0
2008-08-27,10397.3,10516.01,10397.3,10443.26,5318000.0
