Date,open,high,low,close,volume
2000-01-05,448.53,464.27,448.53,460.67,44890.0
2000-01-06,460.67,484.04,455.35,484.04,162760.0
2000-01-07,484.04,527.25,482.68,526.34,780700.0
2000-01-10,526.34,555.57,519.73,541.17,503050.0
2000-01-11,541.17,546.56,522.17,531.51,196610.0
2000-01-12,531.51,538.25,520.1,528.15,165110.0
2000-01-13,528.15,538.3,517.66,530.63,417220.0
2000-01-14,530.63,554.36,517.88,553.06,942990.0
2000-01-17,553.06,567.27,537.74,557.6,220790.0
2000-01-18,557.6,558.01,545.44,547.53,282070.0
2000-01-19,547.53,554.68,547.53,554.68,534480.0
2000-01-20,554.68,555.9,536.6,544.49,208690.0
2000-01-21,554.88,558.2,549.48,552.84,199720.0
2000-01-24,552.84,557.86,551.61,552.78,319020.0
2000-01-25,552.78,563.64,546.89,554.05,1392000.0
2000-01-26,554.05,585.17,549.66,564.68,561300.0
2000-01-27,564.68,566.68,554.86,559.59,2422000.0
2000-01-28,559.59,584.06,559.3,584.06,276750.0
2000-01-31,584.06,605.38,574.53,605.17,162810.0
2000-02-01,605.17,645.26,605.17,644.36,297320.0
2000-02-02,644.36,644.36,609.57,636.13,371240.0
2000-02-03,636.13,636.13,606.67,625.13,215230.0
2000-02-04,636.46,636.46,610.49,633.08,5038000.0
2000-02-07,633.08,638.29,615.96,637.76,561910.0
2000-02-08,637.76,637.76,613.59,615.78,1248000.0
2000-02-09,615.78,624.76,604.26,623.37,320940.0
2000-02-10,623.37,623.37,607.48,608.51,646560.0
2000-02-11,608.51,614.31,597.19,604.92,404590.0
2000-02-14,604.92,604.92,587.35,595.1,381760.0
2000-02-15,595.1,602.45,587.07,599.03,708380.0
2000-02-16,599.03,608.81,589.94,606.54,330410.0
2000-02-17,606.54,619.08,600.41,613.83,325300.0
2000-02-18,613.83,616.75,604.2,605.16,458310.0
2000-02-21,605.16,609.7,598.74,599.96,365110.0
2000-02-22,599.96,604.68,591.53,604.51,206160.0
2000-02-23,604.51,607.27,591.7,607.06,174230.0
2000-02-24,607.06,607.06,596.48,605.46,195960.0
2000-02-25,605.46,613.93,598.91,607.98,190430.0
2000-02-28,607.98,613.85,604.18,610.79,426830.0
2000-02-29,610.79,616.32,604.58,616.32,310750.0
2000-03-01,616.32,616.32,595.93,595.93,856340.0
2000-03-02,595.93,595.93,586.37,587.58,277410.0
2000-03-03,587.58,595.97,582.85,595.69,180430.0
2000-03-06,595.69,595.69,590.9,590.9,882500.0
2000-03-07,590.9,592.8,579.17,582.27,393130.0
2000-03-08,582.27,582.27,563.02,563.02,91050.0
2000-03-09,551.13,556.35,523.57,545.18,709260.0
2000-03-10,545.18,572.13,539.46,571.74,378260.0
2000-03-13,571.74,573.46,551.52,573.46,489240.0
2000-03-14,573.46,579.78,569.59,579.78,361810.0
2000-03-15,579.78,579.78,568.34,572.82,599960.0
2000-03-16,572.82,576.23,567.42,571.35,390390.0
2000-03-17,571.35,573.25,564.93,564.93,852960.0
2000-03-20,564.93,567.48,545.17,549.2,1392000.0
2000-03-21,549.2,551.48,540.91,541.67,402290.0
2000-03-22,541.67,543.81,538.76,539.33,523200.0
2000-03-23,539.33,544.36,538.9,541.68,328900.0
2000-03-24,541.68,545.66,541.57,541.91,228300.0
2000-03-27,541.91,547.59,536.82,544.08,163330.0
2000-03-28,544.08,552.85,544.08,546.68,261600.0
2000-03-29,546.68,551.1,540.94,545.72,222550.0
2000-03-30,545.72,549.25,542.44,546.12,162880.0
2000-03-31,546.12,546.55,534.58,535.22,108760.0
2000-04-03,535.22,539.25,529.34,531.27,55810.0
2000-04-04,531.27,541.0,530.16,534.66,51330.0
2000-04-05,534.66,543.09,526.15,542.97,30420.0
2000-04-06,542.97,542.97,532.98,536.19,100120.0
2000-04-07,536.19,542.03,533.83,539.57,151410.0
