Date,open,high,low,close,volume
2000-07-28,100.0,100.0,100.0,100.0,4000.0
2000-07-31,101.55,101.55,101.55,101.55,10000.0
2000-08-02,103.38,103.38,103.38,103.38,70000.0
2000-08-04,105.2,105.2,105.2,105.2,4000.0
2000-08-07,106.92,106.92,106.92,106.92,13000.0
2000-08-09,108.64,108.64,108.64,108.64,16000.0
2000-08-11,110.36,110.36,110.36,110.36,14000.0
2000-08-14,112.08,112.08,112.08,112.08,12000.0
2000-08-16,113.8,113.8,113.8,113.8,23000.0
2000-08-18,115.52,115.52,115.52,115.52,10000.0
2000-08-21,117.24,117.24,117.24,117.24,36000.0
2000-08-23,118.96,118.96,118.96,118.96,111000.0
2000-08-25,118.84,118.84,118.84,118.84,95000.0
2000-08-28,117.0,117.0,117.0,117.0,98000.0
2000-08-30,115.15,115.15,115.15,115.15,127000.0
2000-09-01,113.37,113.37,113.37,113.37,97000.0
2000-09-06,112.51,112.51,112.51,112.51,61000.0
2000-09-08,112.39,112.39,112.39,112.39,50000.0
2000-09-11,114.11,114.11,114.11,114.11,31000.0
2000-09-13,116.08,116.08,116.08,116.08,18000.0
2000-09-15,118.04,118.04,118.04,118.04,46000.0
2000-09-18,118.19,118.19,118.19,118.19,65000.0
2000-09-20,118.21,118.21,118.21,118.21,42000.0
2000-09-22,118.76,118.76,118.76,118.76,67000.0
2000-09-25,118.98,118.98,118.98,118.98,57000.0
2000-09-27,119.69,119.69,119.69,119.69,57000.0
2000-09-29,120.71,120.71,120.71,120.71,53000.0
2000-10-02,120.92,120.92,120.92,120.92,49000.0
2000-10-04,121.14,121.14,121.14,121.14,58000.0
2000-10-06,122.21,122.21,122.21,122.21,40000.0
2000-10-09,124.33,124.33,124.33,124.33,26000.0
2000-10-11,126.45,126.45,126.45,126.45,53000.0
2000-10-13,128.57,128.57,128.57,128.57,52000.0
2000-10-16,130.71,130.71,130.71,130.71,27000.0
2000-10-18,132.85,132.85,132.85,132.85,26000.0
2000-10-20,135.04,135.04,135.04,135.04,66000.0
2000-10-23,136.55,136.55,136.55,136.55,39000.0
2000-10-25,137.08,137.08,137.08,137.08,45000.0
2000-10-27,139.57,139.57,139.57,139.57,88000.0
2000-10-30,140.84,140.84,140.84,140.84,101000.0
2000-11-01,143.33,143.33,143.33,143.33,96000.0
2000-11-03,145.83,145.83,145.83,145.83,79000.0
2000-11-06,148.57,148.57,148.57,148.57,55000.0
2000-11-08,151.32,151.32,151.32,151.32,29000.0
2000-11-10,154.08,154.08,154.08,154.08,57000.0
2000-11-13,156.84,156.84,156.84,156.84,22000.0
2000-11-15,159.6,159.6,159.6,159.6,13000.0
2000-11-17,162.36,162.36,162.36,162.36,35000.0
2000-11-20,165.7,165.7,165.7,165.7,64000.0
2000-11-22,165.52,165.52,165.52,165.52,137000.0
2000-11-24,166.17,166.17,166.17,166.17,117000.0
2000-11-27,165.6,165.6,165.6,165.6,90000.0
2000-11-29,168.73,168.73,168.73,168.73,77000.0
2000-12-01,171.87,171.87,171.87,171.87,43000.0
2000-12-04,175.0,175.0,175.0,175.0,29000.0
2000-12-06,178.13,178.13,178.13,178.13,60000.0
2000-12-08,181.26,181.26,181.26,181.26,188000.0
2000-12-11,189.94,189.94,189.94,189.94,125000.0
2000-12-13,184.48,184.48,184.48,184.48,106000.0
2000-12-15,187.62,187.62,187.62,187.62,49000.0
2000-12-18,191.11,191.11,191.11,191.11,82000.0
2000-12-20,194.85,194.85,194.85,194.85,39000.0
2000-12-22,198.58,198.58,198.58,198.58,61000.0
2000-12-25,202.32,202.32,202.32,202.32,21000.0
2000-12-27,203.09,203.09,203.09,203.09,41000.0
2000-12-29,206.83,206.83,206.83,206.83,60000.0
2001-01-03,210.56,210.56,210.56,210.56,44000.0
2001-01-05,214.32,214.32,214.32,214.32,50000.0
2001-01-08,218.12,218.12,218.12,218.12,72000.0
2001-01-10,222.15,222.15,222.15,222.15,184000.0
2001-01-12,225.67,225.67,225.67,225.67,224000.0
2001-01-15,228.35,228.35,228.35,228.35,123000.0
2001-01-17,232.68,232.68,232.68,232.68,88000.0
2001-01-19,236.97,236.97,236.97,236.97,43000.0
2001-01-29,241.36,241.36,241.36,241.36,9000.0
2001-01-31,245.8,245.8,245.8,245.8,7000.0
2001-02-02,250.23,250.23,250.23,250.23,25000.0
2001-02-05,254.96,254.96,254.96,254.96,3000.0
2001-02-07,259.93,259.93,259.93,259.93,9000.0
2001-02-09,260.15,260.15,260.15,260.15,315000.0
2001-02-12,256.18,256.18,256.18,256.18,131000.0
2001-02-14,252.21,252.21,252.21,252.21,78000.0
2001-02-16,248.98,248.98,248.98,248.98,44000.0
2001-02-19,245.99,245.99,245.99,245.99,35000.0
2001-02-21,246.75,246.75,246.75,246.75,240000.0
2001-02-23,251.22,251.22,251.22,251.22,155000.0
2001-02-26,255.61,255.61,255.61,255.61,97000.0
2001-02-28,252.4,252.4,252.4,252.4,293000.0
2001-03-02,253.64,253.64,253.64,253.64,208000.0
2001-03-05,250.73,250.73,250.73,250.73,166000.0
2001-03-07,248.05,248.05,248.05,248.05,203000.0
2001-03-09,252.61,252.61,252.61,252.61,118000.0
2001-03-12,255.99,255.99,255.99,255.99,122000.0
2001-03-14,257.7,257.7,257.7,257.7,144000.0
2001-03-16,258.52,258.52,258.52,258.52,102000.0
2001-03-19,260.29,260.29,260.29,260.29,180000.0
2001-03-21,261.11,261.11,261.11,261.11,84000.0
2001-03-23,259.6,259.6,259.6,259.6,135000.0
2001-03-26,260.11,260.11,260.11,260.11,76000.0
2001-03-28,264.7,264.7,264.7,264.7,89000.0
2001-03-30,269.3,269.3,269.3,269.3,44000.0
2001-04-02,274.43,274.43,274.43,274.43,140000.0
2001-04-04,279.56,279.56,279.56,279.56,57000.0
2001-04-06,284.69,284.69,284.69,284.69,33000.0
2001-04-09,289.82,289.82,289.82,289.82,147000.0
2001-04-11,295.09,295.09,295.09,295.09,98000.0
2001-04-13,300.36,300.36,300.36,300.36,68000.0
2001-04-16,306.16,306.16,306.16,306.16,44000.0
2001-04-18,311.96,311.96,311.96,311.96,61000.0
2001-04-20,317.76,317.76,317.76,317.76,123000.0
2001-04-23,313.74,313.74,313.74,313.74,322000.0
2001-04-25,315.27,315.27,315.27,315.27,417000.0
2001-04-27,321.07,321.07,321.07,321.07,50000.0
2001-05-02,327.13,327.13,327.13,327.13,44000.0
2001-05-04,332.0,332.0,332.0,332.0,115000.0
2001-05-07,338.35,338.35,338.35,338.35,65000.0
2001-05-09,344.47,344.47,344.47,344.47,161000.0
2001-05-11,351.06,351.06,351.06,351.06,26000.0
2001-05-14,357.65,357.65,357.65,357.65,60000.0
2001-05-16,364.27,364.27,364.27,364.27,25000.0
2001-05-18,370.9,370.9,370.9,370.9,56000.0
2001-05-21,377.43,377.43,377.43,377.43,52000.0
2001-05-23,384.16,384.16,384.16,384.16,230000.0
2001-05-25,390.88,390.88,390.88,390.88,84000.0
2001-05-28,397.5,397.5,397.5,397.5,132000.0
2001-05-30,404.26,404.26,404.26,404.26,14000.0
2001-06-01,411.03,411.03,411.03,411.03,16000.0
2001-06-04,417.79,417.79,417.79,417.79,22000.0
2001-06-06,424.56,424.56,424.56,424.56,25000.0
2001-06-08,426.58,426.58,426.58,426.58,193000.0
2001-06-11,428.02,428.02,428.02,428.02,425000.0
2001-06-13,456.18,456.18,456.18,456.18,122000.0
2001-06-15,486.34,486.34,486.34,486.34,74000.0
2001-06-18,518.62,518.62,518.62,518.62,210000.0
2001-06-20,553.56,553.56,553.56,553.56,141000.0
2001-06-22,563.0,563.0,563.0,563.0,544000.0
2001-06-25,571.04,571.04,571.04,571.04,268000.0
2001-06-27,531.93,531.93,531.93,531.93,80000.0
2001-06-29,500.28,500.28,500.28,500.28,120000.0
2001-07-02,491.17,491.17,491.17,491.17,181000.0
2001-07-04,512.8,512.8,512.8,512.8,268000.0
2001-07-06,502.93,502.93,502.93,502.93,224000.0
2001-07-09,470.83,470.83,470.83,470.83,109000.0
2001-07-11,436.13,436.13,436.13,436.13,93000.0
2001-07-13,416.46,416.46,416.46,416.46,169000.0
2001-07-16,411.43,411.43,411.43,411.43,122000.0
2001-07-18,438.12,438.12,438.12,438.12,99000.0
2001-07-20,466.67,466.67,466.67,466.67,76000.0
2001-07-23,438.33,438.33,438.33,438.33,275000.0
2001-07-25,450.87,450.87,450.87,450.87,142000.0
2001-07-27,445.37,445.37,445.37,445.37,97000.0
2001-07-30,422.46,422.46,422.46,422.46,100000.0
2001-08-01,395.63,395.63,395.63,395.63,121000.0
2001-08-03,371.76,371.76,371.76,371.76,64000.0
2001-08-06,350.69,350.69,350.69,350.69,76000.0
2001-08-08,373.63,373.63,373.63,373.63,261000.0
2001-08-10,394.18,394.18,394.18,394.18,213000.0
2001-08-13,368.34,368.34,368.34,368.34,129000.0
2001-08-15,344.31,344.31,344.31,344.31,72000.0
2001-08-17,321.83,321.83,321.83,321.83,185000.0
2001-08-20,302.25,302.25,302.25,302.25,201000.0
2001-08-22,320.98,320.98,320.98,320.98,167000.0
2001-08-24,300.03,300.03,300.03,300.03,154000.0
2001-08-27,279.65,279.65,279.65,279.65,55000.0
2001-08-29,261.35,261.35,261.35,261.35,121000.0
2001-08-31,277.4,277.4,277.4,277.4,297000.0
2001-09-05,296.43,296.43,296.43,296.43,91000.0
2001-09-07,307.76,307.76,307.76,307.76,246000.0
2001-09-10,286.55,286.55,286.55,286.55,266000.0
2001-09-12,284.68,284.68,284.68,284.68,197000.0
2001-09-14,274.64,274.64,274.64,274.64,155000.0
2001-09-17,266.09,266.09,266.09,266.09,135000.0
2001-09-19,273.37,273.37,273.37,273.37,158000.0
2001-09-21,272.03,272.03,272.03,272.03,113000.0
2001-09-24,259.75,259.75,259.75,259.75,151000.0
2001-09-26,249.72,249.72,249.72,249.72,134000.0
2001-09-28,244.46,244.46,244.46,244.46,141000.0
2001-10-01,229.06,229.06,229.06,229.06,142000.0
2001-10-03,214.29,214.29,214.29,214.29,102000.0
2001-10-05,203.12,203.12,203.12,203.12,212000.0
2001-10-08,217.1,217.1,217.1,217.1,299000.0
2001-10-10,221.18,221.18,221.18,221.18,156000.0
2001-10-12,225.27,225.27,225.27,225.27,1000.0
2001-10-15,229.35,229.35,229.35,229.35,989000.0
2001-10-17,233.48,233.48,233.48,233.48,11000.0
2001-10-19,237.62,237.62,237.62,237.62,9000.0
2001-10-22,242.01,242.01,242.01,242.01,18000.0
2001-10-24,246.41,246.41,246.41,246.41,54000.0
2001-10-26,250.85,250.85,250.85,250.85,23000.0
2001-10-29,255.55,255.55,255.55,255.55,408000.0
2001-10-31,260.29,260.29,260.29,260.29,53000.0
2001-11-02,265.03,265.03,265.03,265.03,66000.0
2001-11-05,269.77,269.77,269.77,269.77,70000.0
2001-11-07,274.89,274.89,274.89,274.89,25000.0
2001-11-09,280.03,280.03,280.03,280.03,22000.0
2001-11-12,285.06,285.06,285.06,285.06,25000.0
2001-11-14,290.51,290.51,290.51,290.51,33000.0
2001-11-16,295.97,295.97,295.97,295.97,24000.0
2001-11-19,301.09,301.09,301.09,301.09,54000.0
2001-11-21,296.11,296.11,296.11,296.11,301000.0
2001-11-23,292.17,292.17,292.17,292.17,185000.0
2001-11-26,296.9,296.9,296.9,296.9,278000.0
2001-11-28,293.03,293.03,293.03,293.03,156000.0
