,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2000-04-11,2000-04-11,2000-04-11,2000-04-11,2000-04-11,2000-04-11,2000-04-11,2000-05-12,2000-05-12,2000-05-12,2000-05-12,2000-05-12,2000-05-12,2000-05-12
End,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30
Period,6264 days 00:00:00,6264 days 00:00:00,6264 days 00:00:00,6264 days 00:00:00,6264 days 00:00:00,6264 days 00:00:00,6264 days 00:00:00,6244 days 00:00:00,6244 days 00:00:00,6244 days 00:00:00,6244 days 00:00:00,6244 days 00:00:00,6244 days 00:00:00,6244 days 00:00:00
Total Return [%],49.32742555362866,43.621591801389066,54.92394129136884,70.72530162358098,73.89813498857964,85.16540302017133,35.84480800694278,137.06413712619187,256.288600281982,189.93164985920006,149.4706255138369,136.2318881904901,146.46822446212965,64.05533926563533
Benchmark Return [%],167.50033196506072,167.50033196506072,167.50033196506072,167.50033196506072,167.50033196506072,167.50033196506072,167.50033196506072,173.88051104669287,173.88051104669287,173.88051104669287,173.88051104669287,173.88051104669287,173.88051104669287,173.88051104669287
Annualized Return [%],2.139313385624948,1.6735256390968847,2.387538703234896,3.0139338025450564,3.1281857111691673,3.534659284729006,1.4516559687538828,5.116138471329606,7.5016816991367765,6.2966113465731235,5.4305403944826205,5.102462562732701,5.347526710503302,2.5015532491523014
Annualized Volatility [%],17.791700654756315,18.050847579762962,17.738299769401788,17.772465615724787,17.93029894242743,17.920968752139213,17.90605616466981,18.08520279664719,18.028551676881516,18.061222375641147,18.214161750643367,17.971206997560635,18.156654396306838,20.008564686650164
Max Drawdown [%],42.11293684738684,43.782568811172986,43.33230372638455,38.691151635032256,40.73527428938835,40.12984233651978,45.56974717296425,42.15183630854023,39.054840699690885,39.42796801239241,45.01197606002238,42.204402297287174,38.3344548394197,56.17088219070378
Max Drawdown Duration,2290 days 03:25:42.857142848,2454 days 10:17:08.571428576,2082 days 20:34:17.142857152,2031 days 20:34:17.142857152,2030 days 13:42:51.428571424,1883 days 13:42:51.428571424,2103 days 03:25:42.857142848,1355 days 17:08:34.285714288,1208 days 10:17:08.571428576,1211 days 13:42:51.428571424,1329 days 10:17:08.571428576,1294 days 17:08:34.285714288,1399 days 06:51:25.714285712,2950 days 17:08:34.285714272
Sharpe Ratio,0.19858970961287298,0.17055610923749112,0.2135557882769812,0.2511966580715498,0.25755199768819753,0.2816964561052771,0.15667006894828672,0.37128825000934657,0.5077280489734318,0.4412614279505688,0.38786043748947846,0.37230854511455014,0.3837606613345966,0.21920144592018925
Calmar Ratio,0.04660917451284813,0.03833519033483744,0.0521553110114073,0.07763618373649608,0.07604638656911354,0.09071397944782224,0.02725009903230983,0.12738000902708588,0.2138920503936324,0.17347913743823423,0.12437940043990074,0.1288065161626454,0.15145050184937556,0.04355696093735227
Omega Ratio,1.0372131315393192,1.0314561929316235,1.03945000520206,1.046710747131781,1.0479836029090912,1.0528692454928141,1.0288097213769432,1.0713658790224245,1.1000506879558338,1.0860249789196508,1.0747497346000963,1.0716084862134903,1.0731172580025843,1.0464303101048487
Sortino Ratio,0.2772160297748897,0.23864018123125597,0.29916484193887083,0.353113963736007,0.3613308285021136,0.3954448523965933,0.2188614585400379,0.5246466014441623,0.725550404228904,0.6268399060764323,0.5459097640487032,0.5265972034270116,0.5428397144385565,0.3116898032784425
Skew,-0.2316461526369629,-0.2584896879658067,-0.14889830277026736,-0.10724619538533645,-0.15740738175449828,-0.17451944478183296,-0.22487048629867076,-0.09057866666446927,-0.08198544110774232,-0.11684302219888934,-0.1942262783148368,-0.11834022179770974,-0.12452799604374387,0.08324990683690418
Kurtosis,8.283813832810393,7.900244824328031,7.230768265395217,6.974720885376771,7.326930090165372,7.492516710422137,8.220527448744132,8.268070693871556,7.438675419589744,7.832711415790423,7.384752009432693,7.235094454780403,7.225837304417031,12.64242804801593
Tail Ratio,0.9522167151151989,0.9461229573488048,0.9455557327732788,0.9484181179713046,0.9481764167150329,0.9505748957760386,0.9468151421256034,0.9710709888778364,0.9873395193764757,0.9782299181571459,0.9698934492283003,0.9735053555973593,0.9667308058927965,0.973122038602604
Common Sense Ratio,0.972735198125301,0.9623319600751193,0.9683069814645565,0.9771612435432926,0.977983503597264,0.9843147683220378,0.96078759969212,1.0208132292838317,1.061678110617789,1.0400417954727195,1.0225793360647217,1.0232152113373763,1.0185111150196462,0.9980762161662735
Value at Risk,-0.015213901291136539,-0.015479734500377986,-0.01539747704246103,-0.01538504889349836,-0.015419144970511072,-0.015388550510487112,-0.015334449976418196,-0.015332474589961939,-0.015166542039220094,-0.015260370553095098,-0.015416241769920198,-0.015304734777526988,-0.015453430002818656,-0.016455001225213154
Alpha,-0.004128446497697518,-0.009338329916538981,-0.0016771240189047251,0.004380323814423088,0.005136711508852754,0.009138472328391998,-0.011141820477293523,0.02321357705305779,0.0466081837937034,0.0347697954585864,0.025846685723396403,0.023398004031413917,0.02520271658598353,-0.008311287807876615
Beta,0.44278556302665467,0.45428006131044973,0.4416102178517427,0.4430285829367042,0.4496560169174065,0.44930175972906905,0.44766869150375477,0.4593369354971874,0.45783317986164385,0.4591243059233312,0.4661582363907148,0.4541513032889399,0.4633668233932139,0.5603122323537758
