,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2000-04-24,2000-04-24,2000-04-24,2000-04-24,2000-04-24,2000-04-24,2000-04-24,2000-05-23,2000-05-23,2000-05-23,2000-05-23,2000-05-23,2000-05-23,2000-05-23
End,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30
Period,5995 days 00:00:00,5995 days 00:00:00,5995 days 00:00:00,5995 days 00:00:00,5995 days 00:00:00,5995 days 00:00:00,5995 days 00:00:00,5975 days 00:00:00,5975 days 00:00:00,5975 days 00:00:00,5975 days 00:00:00,5975 days 00:00:00,5975 days 00:00:00,5975 days 00:00:00
Total Return [%],1822.6613865385777,1581.0440414926038,1144.4426043505014,1173.0454217441475,1234.5255656987308,1212.4148755130643,1306.7447132955056,1339.2745339419118,1655.2904703060383,1536.2756225649841,1332.7868727525529,1169.110494677197,1267.714834796226,694.739141336339
Benchmark Return [%],1233.7464982548152,1233.7464982548152,1233.7464982548152,1233.7464982548152,1233.7464982548152,1233.7464982548152,1233.7464982548152,1328.8672746891968,1328.8672746891968,1328.8672746891968,1328.8672746891968,1328.8672746891968,1328.8672746891968,1328.8672746891968
Annualized Return [%],19.62551351482042,18.686206859881747,16.543210847416578,16.744300101278988,17.0703441191425,16.954099849454582,17.410021041573533,17.47562500614298,18.822558186277554,18.556981910445106,17.636243727199034,16.59397920806854,17.29265582237429,12.95277886097966
Annualized Volatility [%],16.657494909846058,16.801689137668355,16.969160308159207,16.796632717926695,16.85264495084531,16.841230477665942,17.202266175455772,16.656403436826135,17.231284196764143,17.10005583556542,16.91018467600111,16.70548394279926,16.866314593156595,17.965542411784593
Max Drawdown [%],25.98048685009481,29.151497107866664,34.66203776623541,29.969581288484637,33.55710758456511,34.77067409002782,32.44732892016578,32.59427802634773,30.76702410775611,31.03126736362419,32.03172172896187,32.233441828212825,31.389345028311652,43.52605266909158
Max Drawdown Duration,1380 days 17:08:34.285714288,1374 days 00:00:00,1841 days 13:42:51.428571424,1516 days 00:00:00,2312 days 10:17:08.571428576,2312 days 10:17:08.571428576,1528 days 20:34:17.142857136,1416 days 06:51:25.714285712,836 days 06:51:25.714285712,1049 days 13:42:51.428571424,1368 days 03:25:42.857142864,1592 days 13:42:51.428571424,1488 days 13:42:51.428571424,1186 days 10:17:08.571428576
Sharpe Ratio,1.1923708041664611,1.1316924855414843,1.0063228066832608,1.0265380650215807,1.0410625819224018,1.0355225459985755,1.0394320279645446,1.0708946600199645,1.1089155729762326,1.1051294074815559,1.0674068184080312,1.0204356110982875,1.0506985160368554,0.7739940579457912
Calmar Ratio,0.8943678378334738,0.7241435123171319,0.5206505903413219,0.6202035960292631,0.5481375830571972,0.5200595681100786,0.5842775491373046,0.5887843096363558,0.6884170258083095,0.6668475452096184,0.6005533827858225,0.55748298864943,0.6049823340735431,0.33941205491856685
Omega Ratio,1.2441472554107538,1.2291543952371817,1.1990404218202837,1.2040104199222783,1.2064636519318641,1.2042841013482157,1.2033882702189251,1.2159127020166929,1.2189937356594152,1.2207065920787632,1.216306718804446,1.2044680326339454,1.2110426910922971,1.1685652766342456
Sortino Ratio,1.7864778561999817,1.685278075670998,1.4754018461182208,1.5025916250997085,1.5288726908390324,1.5224715352127394,1.5360343473888123,1.5963536242482501,1.643050424302722,1.6386504704073597,1.5788983379711115,1.510669080976524,1.5542643866962111,1.0984186774764317
Skew,0.07406837822909715,0.05076767939799431,-0.08858420590487072,-0.12323642224232964,-0.08472639481804034,-0.07018469417279165,0.016984168746769248,0.08452344981568952,-0.0015103221586635668,0.016006744490457185,0.017597008956719278,0.03859281746918725,0.026932017320566763,-0.4857559778638878
Kurtosis,7.55096709990429,7.615216661677524,7.012673280014796,7.060937365713721,7.13330066592686,6.8025296890883835,7.019214607536222,7.719117164168324,6.947273305488383,7.453359854045692,7.87575193277239,7.753916092876061,7.822550595184448,13.793897564894168
Tail Ratio,1.1457992880343277,1.1367904999306888,1.114918742277342,1.1297003894641797,1.118904834807477,1.1167876813876012,1.1045015099442115,1.1299212256912214,1.105501816013454,1.128169628746815,1.1204323396091638,1.1163830522891058,1.1270904191090394,1.0991470163728194
Common Sense Ratio,1.3714329149317734,1.3495969294125219,1.2993848045826442,1.318792975115736,1.309903333368418,1.3061398811850007,1.2969689111349858,1.3274365540689872,1.3142341733531375,1.3378740355234697,1.3180972546585281,1.3016273374175873,1.321933948300971,1.2415230346816766
Value at Risk,-0.012980508842503654,-0.013100692697553254,-0.013394964121933873,-0.01319921434443659,-0.013315394343060272,-0.013370976082648792,-0.013631168010694467,-0.01300485967579791,-0.013728120496156352,-0.013381913491137792,-0.01326491770615068,-0.013129358354208694,-0.0132001513223407,-0.013690649814657578
Alpha,0.10799546453308477,0.09781596887397419,0.07625439568084062,0.07960904070028964,0.08221982056965936,0.08126334124475262,0.08206509038258743,0.0845527945964774,0.09139326973894553,0.09021547470047257,0.0834477216126557,0.07575275049391547,0.0808109630263804,0.029115390736719555
Beta,0.4914829622077166,0.4992527646341622,0.5081306818599817,0.49936924090881074,0.5019916204363278,0.5012601360574649,0.5212731514407458,0.49489322067247965,0.5269412024287436,0.5198693384785523,0.5096500051959173,0.49806670289697813,0.5064889787728822,0.5735274189663135
