,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2001-08-14,2001-08-14,2001-08-14,2001-08-14,2001-08-14,2001-08-14,2001-08-14,2001-09-18,2001-09-18,2001-09-18,2001-09-18,2001-09-18,2001-09-18,2001-09-18
End,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31
Period,5848 days 00:00:00,5848 days 00:00:00,5848 days 00:00:00,5848 days 00:00:00,5848 days 00:00:00,5848 days 00:00:00,5848 days 00:00:00,5828 days 00:00:00,5828 days 00:00:00,5828 days 00:00:00,5828 days 00:00:00,5828 days 00:00:00,5828 days 00:00:00,5828 days 00:00:00
Total Return [%],338.04849317320287,315.5302151651149,283.19562511340735,322.64952362288204,325.0861302581231,288.88332004085436,296.7473704842324,328.78864712009675,528.5185765789555,403.38887339767206,417.961760285354,316.9644454695953,347.572453394353,404.55527879550584
Benchmark Return [%],642.1898746221419,642.1898746221419,642.1898746221419,642.1898746221419,642.1898746221419,642.1898746221419,642.1898746221419,834.5900195363868,834.5900195363868,834.5900195363868,834.5900195363868,834.5900195363868,834.5900195363868,834.5900195363868
Annualized Return [%],9.308230140346973,9.035248911166905,8.313630129532326,9.153676173540758,9.197845292570097,8.526744772470492,8.681705281702763,8.994061256101414,12.002205180164108,10.252278017935055,10.56007605749824,8.79826042296669,9.24811888973549,9.072642217266123
Annualized Volatility [%],15.912588085036576,16.00887045258961,15.773918025187362,15.996701801085846,16.142775553884483,16.06814968003401,15.994220719312208,16.140075399571394,16.288182429872872,16.471689723958683,15.831363636537166,16.17679673379157,16.366355827202057,16.79411934957589
Max Drawdown [%],35.05840536431733,35.036462443891494,44.35735135586289,38.21252728321655,37.87833800810785,40.91477001423089,40.72399749331562,35.27710849739457,34.33096767079528,32.38253357323038,33.790527854381175,37.06981873060878,35.63222668296654,41.5403903107877
Max Drawdown Duration,1908 days 03:25:42.857142848,1926 days 17:08:34.285714272,3074 days 03:25:42.857142848,2591 days 20:34:17.142857152,2449 days 03:25:42.857142848,2707 days 00:00:00,3147 days 13:42:51.428571424,1774 days 00:00:00,879 days 06:51:25.714285712,1395 days 03:25:42.857142864,2387 days 20:34:17.142857152,2136 days 03:25:42.857142848,1849 days 17:08:34.285714272,2550 days 06:51:25.714285728
Sharpe Ratio,0.6370024887378697,0.6185377419688977,0.5790977363942461,0.6258348741088097,0.6238244150852237,0.5851219030914185,0.5969084838845229,0.6063226755211789,0.7796929059627243,0.670869939240936,0.7128494886390373,0.5931557901842905,0.6132276824745005,0.5567196815417809
Calmar Ratio,0.2658403379513901,0.2574288082892427,0.19155579044865081,0.24006857754727687,0.24409481159360485,0.2071678071098551,0.21405798217970973,0.25203916565205237,0.35851081340225743,0.31779861414174054,0.3131582547988506,0.23515686976945485,0.2609454129651734,0.21875294997158215
Omega Ratio,1.119424157185317,1.1155351928965305,1.108192350071913,1.11578083157439,1.1147194537856662,1.1074608365075975,1.1102848285946734,1.1123351356105455,1.1482604217727932,1.1244298526083039,1.1357958458443935,1.1087708380906813,1.113529367514437,1.1061417396431723
Sortino Ratio,0.9324028277795176,0.9025608002599279,0.8448686813735831,0.9123108335249338,0.9081608162238078,0.8504873646432551,0.8702533730591094,0.8877760725919899,1.1450325470478557,0.9810647496768302,1.0505761910402245,0.8658477119950264,0.8944201725410851,0.8086467254029294
Skew,0.11045692023552996,0.0971285926345136,0.12717940105568917,0.09845216139996436,0.07522107579570984,0.0823728522074254,0.10634453317883828,0.16942650618430707,0.11476715902429362,0.1183066084799744,0.1951138323428275,0.1455344922761113,0.11853393874831201,0.14039115470690514
Kurtosis,6.792912451950593,6.817929835764141,6.703514224890098,6.460782642913423,6.241869724570685,6.3332049650220466,6.653441028355827,7.171386340011776,7.441818921817917,7.119128198229288,7.712621479421045,7.034884516767123,7.2734187407149635,10.251235542453097
Tail Ratio,1.0617684338163156,1.0591942479182133,1.03644154212786,1.0431318718375755,1.0484049880284863,1.0435238983421755,1.0528153052209224,1.0600587879795484,1.068624259853934,1.061602775316278,1.0700622839697207,1.056547268888196,1.0576755462438105,1.0302055614664698
Common Sense Ratio,1.1606208730394585,1.154691033909966,1.1226064597607726,1.1385367518903329,1.1446967829232075,1.1323644676122198,1.1440136945937098,1.1552114274200072,1.196768870823965,1.1702609266765638,1.1827807644702468,1.1492497818181406,1.155385089628106,1.1245228122569093
Value at Risk,-0.012973503781403004,-0.013018735134121757,-0.013008421906710857,-0.013190176405933991,-0.013273390356704847,-0.013240080835503317,-0.013107512273074317,-0.013102454700737383,-0.013078303327707834,-0.01333622518197457,-0.012728354824958385,-0.013138097840874996,-0.013216176504799452,-0.01338653403291302
Alpha,0.025600650938879914,0.022309711688417572,0.017140818802438135,0.02330930684679216,0.022713653979637,0.01696143475235406,0.0190509424965937,0.011461472448984258,0.03803923131744274,0.02012706203007697,0.028547775776657538,0.009196491992199232,0.011650375169249636,0.0035026176016073685
Beta,0.5099407735817808,0.515553871743245,0.5022651906929912,0.5161810608171569,0.5241960898214195,0.5195759367670101,0.5148026011964894,0.5327537942472133,0.5435647428674021,0.5543431309280848,0.5158841352550473,0.535626374212941,0.5478038944662387,0.5893716193696569
