,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2009-03-23,2009-03-23,2009-03-23,2009-03-23,2009-03-23,2009-03-23,2009-03-23,2009-05-06,2009-05-06,2009-05-06,2009-05-06,2009-05-06,2009-05-06,2009-05-06
End,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31
Period,3215 days 00:00:00,3215 days 00:00:00,3215 days 00:00:00,3215 days 00:00:00,3215 days 00:00:00,3215 days 00:00:00,3215 days 00:00:00,3195 days 00:00:00,3195 days 00:00:00,3195 days 00:00:00,3195 days 00:00:00,3195 days 00:00:00,3195 days 00:00:00,3195 days 00:00:00
Total Return [%],271.6983742439912,234.88619873371303,195.47906584413775,186.03721295010436,221.48290407846372,217.89527788189181,241.47730543212475,220.11335085554728,239.11824218921944,262.3510941883102,242.81811347279736,240.5043530966989,206.8639090315649,56.28830428478186
Benchmark Return [%],165.7903149826454,165.7903149826454,165.7903149826454,165.7903149826454,165.7903149826454,165.7903149826454,165.7903149826454,107.44931553491928,107.44931553491928,107.44931553491928,107.44931553491928,107.44931553491928,107.44931553491928,107.44931553491928
Annualized Return [%],15.970515585611546,14.621793353423211,12.98856783611412,12.643752400869845,14.13340372341663,13.988321414368317,14.865843970828463,13.878647320516432,14.764137570431123,15.578320298673876,14.88129472961896,14.807966901340581,13.522393337514535,5.002128218597979
Annualized Volatility [%],14.70508255913278,14.79881009060966,14.906298075303495,14.731250941401848,14.722675176852935,14.678217981636225,14.650664977007605,14.49481942688159,14.354904612938258,14.246811153944533,14.33981663159817,14.391918397455735,14.390798702730892,16.893578006210724
Max Drawdown [%],22.733897305844255,26.416079101164485,26.09140255473897,24.722467236726704,24.387518664817012,24.698801578618298,23.009165576796043,25.351498326890546,22.433324614063473,23.362950383599856,23.27307490645781,22.382221667485503,22.44759162962123,38.71755667386401
Max Drawdown Duration,740 days 03:25:42.857142856,1021 days 10:17:08.571428576,904 days 17:08:34.285714288,889 days 03:25:42.857142864,760 days 17:08:34.285714288,833 days 20:34:17.142857144,702 days 00:00:00,704 days 03:25:42.857142856,689 days 00:00:00,685 days 00:00:00,691 days 03:25:42.857142856,685 days 03:25:42.857142856,689 days 10:17:08.571428568,1586 days 17:08:34.285714288
Sharpe Ratio,1.1311214439399617,1.0368397577803021,0.9245402854931605,0.9129341021140952,1.011285216307949,1.0047307877560507,1.063384179469336,1.0247840610373422,1.08910123640946,1.1510790887918596,1.0971673384065135,1.088829229231,1.0029583204214731,0.36862226782547447
Calmar Ratio,0.8298575944786425,0.6227076967119701,0.5648106170766062,0.5793774044488629,0.6631661862485441,0.6468790241913455,0.7562712535274434,0.6788891443743369,0.7971667973499216,0.7991000026734725,0.7608644399701172,0.7972580064813638,0.7265413092289116,0.1299369337499494
Omega Ratio,1.2469063392028557,1.222167360891164,1.1964186439130056,1.1943656747669646,1.2181863795166952,1.2163316584230215,1.2289251436864856,1.2216387501334691,1.2396713475696146,1.249221710769467,1.2388519537646414,1.2353427323676083,1.213492126267319,1.0769538378371781
Sortino Ratio,1.631690585214118,1.4807066718664446,1.3161885005666516,1.304773199629765,1.4431336132583452,1.4309857773092507,1.5281369188564964,1.4616542281551779,1.5428381260132122,1.6576417871755058,1.5701296928084276,1.5521307930505235,1.4238616662685557,0.5049196963206849
Skew,-0.4455868898224354,-0.5294749840121997,-0.5021367220471611,-0.38925521571492655,-0.5146251902956546,-0.5591445976215809,-0.4451895633848824,-0.6297367743141067,-0.7783613816076173,-0.48608331042427927,-0.6006327933490968,-0.6402211911983094,-0.6296675389926717,-0.5567410823094302
Kurtosis,14.13732664031062,13.95976495996874,14.371024091271087,15.308897214403162,14.609284145277636,14.147202605958494,14.107560406348416,13.712166283253904,14.947680016452882,13.061081284790122,14.20089526811105,13.992025582938599,13.929246161870074,23.1332710007689
Tail Ratio,1.0579633496990355,1.0420537730910218,1.042169325719478,1.0237372214654492,1.0423079515410654,1.0421453592080787,1.0427503861479461,1.0622574219346432,1.0757446392411338,1.0652943734108822,1.0679930116306484,1.0679258917039542,1.047428930776827,0.9906322308445399
Common Sense Ratio,1.227573673165034,1.1949030777231044,1.1780197734124396,1.1533533490010035,1.1899563048300792,1.1882130534732898,1.1981737510569157,1.2113743503333576,1.2358647721754235,1.2326029554118754,1.2281741129176076,1.2272001463362172,1.1898085135441843,1.040033164984186
Value at Risk,-0.010854743914237094,-0.011076363922326535,-0.011120114629768616,-0.011066687861743089,-0.010937842121561233,-0.010927468030157003,-0.0109740235940155,-0.010834193101934618,-0.010596175369375151,-0.010710936897018816,-0.010708483820130538,-0.010733648477267831,-0.010894989719070547,-0.012425389858565925
Alpha,0.10512791796987588,0.09161329627690748,0.07513318609589295,0.07297998348789707,0.08736769705392854,0.086259218213609,0.09489688035601096,0.0980187372432711,0.107287580582076,0.11566894938544461,0.10850401673330344,0.10760513112485436,0.0950726558660282,-0.0010371386542104646
Beta,0.44123746876600173,0.4457086852693011,0.4520498480752196,0.44240607150340977,0.441986445691024,0.43963275504406807,0.4380365151604139,0.44442909323892954,0.43671387976366066,0.43142691648966236,0.4357732124859907,0.43800115234126025,0.43826801760457884,0.5966477569696581
