,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2000-04-14,2000-04-14,2000-04-14,2000-04-14,2000-04-14,2000-04-14,2000-04-14,2000-05-15,2000-05-15,2000-05-15,2000-05-15,2000-05-15,2000-05-15,2000-05-15
End,2025-01-03,2025-01-03,2025-01-03,2025-01-03,2025-01-03,2025-01-03,2025-01-03,2025-01-03,2025-01-03,2025-01-03,2025-01-03,2025-01-03,2025-01-03,2025-01-03
Period,6174 days 00:00:00,6174 days 00:00:00,6174 days 00:00:00,6174 days 00:00:00,6174 days 00:00:00,6174 days 00:00:00,6174 days 00:00:00,6154 days 00:00:00,6154 days 00:00:00,6154 days 00:00:00,6154 days 00:00:00,6154 days 00:00:00,6154 days 00:00:00,6154 days 00:00:00
Total Return [%],3836.860320876812,3545.8092262460655,4604.954802859187,4033.991052855225,4266.195618031011,4502.547750419095,4348.087010107348,3390.021001604425,7393.257173332951,5563.929133515261,6940.341390276043,4546.476642411086,4708.91127749565,974.6642983667176
Benchmark Return [%],3080.404093217798,3080.404093217798,3080.404093217798,3080.404093217798,3080.404093217798,3080.404093217798,3080.404093217798,3085.9964832204746,3085.9964832204746,3085.9964832204746,3085.9964832204746,3085.9964832204746,3085.9964832204746,3085.9964832204746
Annualized Return [%],24.138948309836685,23.638051079413753,25.436381868443924,24.55043296505881,24.93099956833688,25.272610781847458,25.000946142251845,23.344049289727646,28.79458453508246,26.802639493818596,28.30827018093874,25.441225207108797,25.666936435085518,12.475831501441458
Annualized Volatility [%],19.804647853950396,19.71864032355993,19.661161274809846,19.68972721646377,19.779756402784795,19.748643887720338,19.960263071058225,19.022217854008804,20.086617246028684,19.93416405965158,20.196712706468183,19.554990700876626,19.707669856680543,18.882300017591024
Max Drawdown [%],51.82442928570487,51.97162320953881,41.181603334384356,45.67338937591602,45.94191414241839,41.52734932443767,47.654199058875534,40.87178958837704,43.0836435407819,40.26658720456596,41.25110725839843,41.22635792804887,46.68239040347081,54.103363988407125
Max Drawdown Duration,948 days 20:34:17.142857136,945 days 13:42:51.428571424,987 days 06:51:25.714285712,1096 days 10:17:08.571428576,1106 days 10:17:08.571428576,1116 days 20:34:17.142857136,1017 days 06:51:25.714285712,947 days 06:51:25.714285712,901 days 06:51:25.714285712,957 days 13:42:51.428571424,918 days 20:34:17.142857136,943 days 13:42:51.428571424,953 days 20:34:17.142857136,2568 days 20:34:17.142857152
Sharpe Ratio,1.2124472185718191,1.1956544981042978,1.2772268348991915,1.2371485439526586,1.2482010169715099,1.2651490544014243,1.2400269914288284,1.2236721513365123,1.3896326176838998,1.3172223378953727,1.362753291546704,1.2842134368658489,1.284422797412787,0.7015999546594429
Calmar Ratio,0.48852863344436687,0.47751925749991864,0.6935910203163146,0.5789361612758218,0.5841974129408578,0.6887273428956993,0.5621638802905494,0.6391678672545462,0.743100016692237,0.7561748681358803,0.769843272226425,0.6862114049685932,0.5955747286951559,0.27309920422738293
Omega Ratio,1.2699991834740252,1.2683873833221273,1.2846786149521614,1.2744703509964037,1.2775571603451072,1.2793613442336615,1.2753941260426422,1.2788585862558095,1.3078639509267032,1.292736240305708,1.3031301611696746,1.2858319313608175,1.2950766884551925,1.1601956619559473
Sortino Ratio,1.8163968340267036,1.7952742377223618,1.9392208766127268,1.8596968423404163,1.8769989165248415,1.9165284147659485,1.8644129860226324,1.8432557010244541,2.1198353990809604,2.0103344407578816,2.0636436497484976,1.9596858675910427,1.9330015331866195,1.0120721027266624
Skew,-0.10083215492201372,-0.0655576940817182,0.11409770142482342,-0.05077489978044839,-0.05100075325723375,0.08324049160151567,-0.07834067316349616,0.08525698641533992,0.11969905540041645,0.14874821064703583,0.0013932372956465702,0.2035442422638411,-0.0874682114210387,-0.4067002727884953
Kurtosis,15.695517085497537,15.914163163965725,13.647114087876748,15.654841803918442,15.463241158511947,13.78767854017127,15.288851064091832,14.5639702489142,12.330854692525083,12.501755073421362,13.204852616915048,13.020078474498648,15.939147499822502,19.14947262709214
Tail Ratio,1.2194193114288312,1.221818428544076,1.2093403405880179,1.2012787564904137,1.197554906563743,1.1997201144934242,1.2280371877228924,1.2165325797920659,1.2313273764690218,1.2572737214865588,1.238876002576853,1.230588918825895,1.2456256025766528,1.1563860426529868
Common Sense Ratio,1.5142863996235092,1.510884243874615,1.5176576680423006,1.4966126543586689,1.4966122321282902,1.5035696705920554,1.535753718404734,1.5007538796395896,1.5875003056939647,1.5956893334694924,1.5912549590891498,1.5444206293037734,1.5662499650918835,1.2998535375332092
Value at Risk,-0.013595830753930926,-0.013465773032048394,-0.013631842322824982,-0.013578867259711441,-0.013732496896243862,-0.013779429503925964,-0.013677831894615551,-0.012889229331509674,-0.014003224640727225,-0.013700510965396049,-0.014019621086967887,-0.013400879289901338,-0.01321839454412649,-0.012876311704297897
Alpha,0.11092360042976106,0.10737749573423046,0.12415639012256117,0.11586829547997746,0.11826724910161159,0.12168374001031654,0.11681668911167178,0.1116001770266158,0.14823139708213875,0.13220228753457053,0.1424787502611608,0.12445876367098456,0.12470353155383775,0.01151910681598919
Beta,0.5475651767348942,0.5431716239837499,0.5411298633636882,0.5422373713980253,0.5468071207336609,0.5454428283293946,0.5557862486378902,0.5108719217120854,0.5654393075908966,0.5571337181722907,0.5712203900752798,0.5377004913884083,0.5455356070013267,0.5137685498674831
