,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2002-09-18,2002-09-18,2002-09-18,2002-09-18,2002-09-18,2002-09-18,2002-09-18,2002-10-18,2002-10-18,2002-10-18,2002-10-18,2002-10-18,2002-10-18,2002-10-18
End,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30,2024-12-30
Period,5445 days 00:00:00,5445 days 00:00:00,5445 days 00:00:00,5445 days 00:00:00,5445 days 00:00:00,5445 days 00:00:00,5445 days 00:00:00,5425 days 00:00:00,5425 days 00:00:00,5425 days 00:00:00,5425 days 00:00:00,5425 days 00:00:00,5425 days 00:00:00,5425 days 00:00:00
Total Return [%],32.225257311582304,40.47051031589725,39.859016251509274,54.66475644014293,48.9385692027622,43.92048103920611,48.91653791809874,131.69067582687285,319.14450868518503,246.81006810378008,275.2416385845034,152.26536848320114,248.5827926274765,99.89744345928898
Benchmark Return [%],321.18125172626327,321.18125172626327,321.18125172626327,321.18125172626327,321.18125172626327,321.18125172626327,321.18125172626327,339.07075484321894,339.07075484321894,339.07075484321894,339.07075484321894,339.07075484321894,339.07075484321894,339.07075484321894
Annualized Return [%],0.42481080161270096,1.0465859171821001,0.979332609742529,1.953681776949523,1.613115569580946,1.3038157633671126,1.595520020064529,5.254147228161485,9.875888565113058,8.64764349624326,9.273655821370813,6.163252694370094,8.715420103134514,4.058933294388031
Annualized Volatility [%],18.06852051637425,18.1539606801667,17.85818448567017,18.068280199998807,18.021994698772257,17.979244007819112,18.02659067293391,18.088070215460398,18.402787765234088,18.064613653707035,17.943471335667663,18.338682014924775,17.837509534007154,19.85003796035471
Max Drawdown [%],52.05237522207655,52.679100644789614,46.25106477063561,41.29216447128325,45.89941091027614,44.90584710006062,42.114171002620374,34.90111871418662,34.00155202921145,34.00487186290248,30.472615985860788,35.782784208485246,31.020560016603714,50.97597901035764
Max Drawdown Duration,4099 days 13:42:51.428571456,3961 days 17:08:34.285714304,2999 days 20:34:17.142857152,2280 days 13:42:51.428571424,3297 days 00:00:00,3172 days 13:42:51.428571424,2812 days 10:17:08.571428576,1816 days 17:08:34.285714272,951 days 17:08:34.285714288,1081 days 10:17:08.571428576,979 days 03:25:42.857142864,1322 days 20:34:17.142857136,1047 days 00:00:00,3133 days 03:25:42.857142848
Sharpe Ratio,0.07862645029713167,0.11737243290047421,0.11052645725464989,0.17153414093319372,0.1506230548567788,0.13179510484735468,0.14995235853261213,0.36443461842419106,0.6176697788739922,0.5588893105160331,0.5965457796952156,0.4138917698719885,0.5678508738798917,0.29889729516614555
Calmar Ratio,0.0038279950977888094,0.015731743589410273,0.013199345049897114,0.038435664353361446,0.028596362576601534,0.02088360903449356,0.029350810737489817,0.15418871134138862,0.3280347433195038,0.27513814078737997,0.33552688227492977,0.17637856272373545,0.30942324861742676,0.0863611757278303
Omega Ratio,1.0124993740398172,1.019761579179202,1.0185091562617592,1.0299064042146424,1.0259366696832264,1.0223726515249094,1.0258689947301425,1.0674252114590728,1.1196021835466103,1.1075512478716496,1.1154072207620027,1.0763248654422493,1.109761746212179,1.0622176113007857
Sortino Ratio,0.10971906675158569,0.16270739459037395,0.15387888944105832,0.23809452478737048,0.20928514751199254,0.18293243084101635,0.20815280857866503,0.5121209466993187,0.8811482989290644,0.791878487571994,0.8510226413614055,0.5824928234435666,0.8074726329055222,0.4167568611320488
Skew,-0.5032240073820776,-0.5363161717320906,-0.4353687411098962,-0.4376251753732583,-0.4282947703891253,-0.42827766669283657,-0.46470026601345754,-0.350103904493081,-0.3547895566101781,-0.33587055688673245,-0.24277264516863248,-0.31519648059181576,-0.27416833677958646,-0.44945801571109323
Kurtosis,6.777300675961265,7.0443508292152535,6.483116932857748,6.1897484136023815,6.250667798630772,6.136033297647836,6.3933958401211255,6.264974526367622,8.6587164757041,6.709099802437858,6.418784340542563,6.097946537137479,6.5608329870547335,13.33509614732843
Tail Ratio,1.02045544089077,1.0214523685278583,1.0056781468282803,1.0150288947832584,1.0194516295253035,1.0078594689589333,1.02462584398242,1.0465339003141798,1.0740219076460602,1.07693804789075,1.069562072292992,1.0526912707272371,1.069331033991411,1.0239665330432892
Common Sense Ratio,1.0240370426034073,1.0314220234169538,1.0150865194941627,1.0343111463288088,1.0352867438456257,1.0204708207977555,1.040229801623392,1.101075845607419,1.1802001492073657,1.1698245535192018,1.168594447165415,1.1170266298007492,1.162257437879918,1.065596973744667
Value at Risk,-0.015471851078696908,-0.015470171622021491,-0.015457012612259654,-0.015585506591652821,-0.015505593674620446,-0.01555246839198691,-0.015439054813875133,-0.01535694485354861,-0.015389369935744648,-0.015069237016429699,-0.01517955956345325,-0.015568253741642168,-0.015077384250533477,-0.01620107172485905
Alpha,-0.03869365224548143,-0.03305393655796656,-0.032603691389295496,-0.024012339265288514,-0.027069409829011373,-0.029888769490631,-0.027218566522380274,0.005919994125334426,0.048850625674057103,0.03850503479648542,0.0451217841399353,0.0134089246335481,0.040233356774723505,-0.014984566864284288
Beta,0.4491839615951533,0.45314586071122764,0.4408872840176266,0.44987602051119857,0.44747494758855083,0.44564046526586437,0.44744499011384836,0.45400925296505446,0.46943439933583697,0.45481458899221566,0.4492257692878929,0.46622913643780917,0.444501848497922,0.5508882162966341
