,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2008-09-23,2008-09-23,2008-09-23,2008-09-23,2008-09-23,2008-09-23,2008-09-23,2008-10-26,2008-10-26,2008-10-26,2008-10-26,2008-10-26,2008-10-26,2008-10-26
End,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31
Period,4058 days 00:00:00,4058 days 00:00:00,4058 days 00:00:00,4058 days 00:00:00,4058 days 00:00:00,4058 days 00:00:00,4058 days 00:00:00,4038 days 00:00:00,4038 days 00:00:00,4038 days 00:00:00,4038 days 00:00:00,4038 days 00:00:00,4038 days 00:00:00,4038 days 00:00:00
Total Return [%],141.15973567143226,109.72034226414985,123.30020891652109,136.47300846020565,114.9408714649608,126.68330949602117,126.55667617945517,60.91619625225692,76.03848743810606,140.86302454751595,68.13082496722349,70.64228458376402,75.93917899385505,13.177963154676657
Benchmark Return [%],11.987223967243677,11.987223967243677,11.987223967243677,11.987223967243677,11.987223967243677,11.987223967243677,11.987223967243677,53.36089772883792,53.36089772883792,53.36089772883792,53.36089772883792,53.36089772883792,53.36089772883792,53.36089772883792
Annualized Return [%],7.908906587700874,6.650775527090103,7.22036500675624,7.725582427150014,6.884221470403916,7.359789872042404,7.350665306629125,4.292782357682683,5.107487621754024,8.10883672865057,4.793067763806696,4.920158162970033,5.1618929242048806,0.5597585398114184
Annualized Volatility [%],13.747239283869378,13.971634890251195,13.984281509601157,13.587768244657255,13.661695324127162,13.682187154647934,13.961561896767149,14.716381475124214,14.599948170327925,13.93453857939181,14.237033009433606,14.18312421536927,14.279623541622296,15.715172203281119
Max Drawdown [%],26.50607044877521,31.491561475604577,26.840891382811915,27.1462155988531,27.666844810011913,26.3879336952196,29.318037496035746,39.96504529445408,42.48618970373197,29.402461984549337,38.96373399700826,36.41122129076001,34.445946254575,44.45606700911823
Max Drawdown Duration,1093 days 06:51:25.714285712,1582 days 00:00:00,1384 days 17:08:34.285714288,1220 days 00:00:00,1447 days 17:08:34.285714288,1529 days 00:00:00,1287 days 03:25:42.857142864,1276 days 06:51:25.714285712,1047 days 10:17:08.571428576,1204 days 17:08:34.285714288,1392 days 20:34:17.142857136,1314 days 03:25:42.857142864,1303 days 13:42:51.428571424,2229 days 13:42:51.428571424
Sharpe Ratio,0.6783246375482735,0.5744747809860546,0.616090172691197,0.672704841948608,0.605457331983785,0.6404070382007009,0.6265099814182172,0.369821012302464,0.4288612485923486,0.6644484030849176,0.4129192589745615,0.4235469297386968,0.4402619732388932,0.08931119271277464
Calmar Ratio,0.36161561104950063,0.23978132172619862,0.3277416618793662,0.34195106339223563,0.2968976056574424,0.33837324608892105,0.29182677852308975,0.10982568868447054,0.12642307331010177,0.3001064736530855,0.12424343913907496,0.1388896779576167,0.15770584691085668,0.01844181042944502
Omega Ratio,1.149474675144289,1.123524005614712,1.135760658558876,1.149481316294415,1.1326673045250806,1.1403660263861473,1.1397876458267775,1.0783383638057287,1.093544112071554,1.1478575213538207,1.0891866844623084,1.0902111899263431,1.0965503071263987,1.01552463614822
Sortino Ratio,1.01030053490377,0.8455912340755561,0.8965201396656719,1.0034163427169838,0.89392951226198,0.9503191534769864,0.9199605846432342,0.5253466613939963,0.6009685514959676,0.9735488312566696,0.582677918342373,0.6079839082090829,0.6287672757496326,0.12915113966575556
Skew,0.29624286379490083,0.2235307109948351,-0.12023624445531264,0.3100272669505792,0.25454090839059573,0.28132035584814213,-0.026301593130034957,-0.42165199731053654,-0.6725269999216567,-0.03588415496293329,-0.4315249343522941,-0.12940192264884348,-0.3743991202496855,-0.7097744732376228
Kurtosis,13.417262716270239,12.872988160685669,16.851784581388046,13.876595084201028,13.651198932722156,13.548495659528408,17.079158085359378,17.50051569157325,18.518371092391934,16.27881501639159,17.532054368547147,16.099786785730657,19.35758859287452,19.28622992960674
Tail Ratio,1.0917972603689363,1.0713000409046463,1.0954511353241465,1.1202024328158198,1.088088917581759,1.0933387070237952,1.094023308711819,1.0567968080566954,1.0648427090181634,1.10782392777809,1.0607216188938235,1.0554064715599758,1.066881233050898,0.9624572522455459
Common Sense Ratio,1.1797397922301776,1.1436509223306772,1.1759734028719457,1.2086579846668095,1.1642657876771942,1.175233744721931,1.1759200148999682,1.102460500908593,1.1198540054954038,1.1987626868055032,1.1117059465896248,1.1075471461824755,1.122383738037101,0.9675496333193497
Value at Risk,-0.010177057924006418,-0.010481208533147325,-0.010202119925773882,-0.009866205828489799,-0.01010910649251483,-0.010113323822195746,-0.01013405739205274,-0.010699513830105005,-0.010518918525509801,-0.010020329986850263,-0.010369237945078583,-0.0104189375929665,-0.010271601054433244,-0.011887530587316055
Alpha,0.0747962207057962,0.06214618457735699,0.06781698018902109,0.07303352467856665,0.06463215601488208,0.06935725109659363,0.06911630746282145,0.023250640353875092,0.03151258600070515,0.06264570493268641,0.029274008873276074,0.03066186016693592,0.03280115242046579,-0.01630081582406127
Beta,0.4019324342044626,0.41276604151936525,0.41379324206327245,0.3946527242261696,0.3976079816066396,0.3987242898945117,0.41286702153897625,0.4953808363143456,0.4890438893495403,0.450005056916194,0.4671624939937927,0.4636867388275541,0.46992970254441335,0.5662779127291401
