,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
Start,2003-06-23,2003-06-23,2003-06-23,2003-06-23,2003-06-23,2003-06-23,2003-06-23,2003-07-21,2003-07-21,2003-07-21,2003-07-21,2003-07-21,2003-07-21,2003-07-21
End,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02
Period,5374 days 00:00:00,5374 days 00:00:00,5374 days 00:00:00,5374 days 00:00:00,5374 days 00:00:00,5374 days 00:00:00,5374 days 00:00:00,5354 days 00:00:00,5354 days 00:00:00,5354 days 00:00:00,5354 days 00:00:00,5354 days 00:00:00,5354 days 00:00:00,5354 days 00:00:00
Total Return [%],1587.8787015644414,1566.6747175399648,1447.1415188154635,1515.0200528508478,1484.6124758975325,1472.3678528106714,1409.4834748695666,1328.7464547180061,1655.0462303497272,1518.9993051062027,1602.1878001451753,1269.485086344642,1450.9165873738327,370.4725496771128
Benchmark Return [%],737.5948281548889,737.5948281548889,737.5948281548889,737.5948281548889,737.5948281548889,737.5948281548889,737.5948281548889,746.8685386513688,746.8685386513688,746.8685386513688,746.8685386513688,746.8685386513688,746.8685386513688,746.8685386513688
Annualized Return [%],20.925176082716064,20.822007366927078,20.239490867428497,20.580504527583475,20.44069958177588,20.383269248661204,20.064417777324298,19.68269084372499,21.31051531887374,20.693572545807115,21.068142620761595,19.40424788897136,20.35337397118523,9.871299214553394
Annualized Volatility [%],14.714429563917339,14.743155381260435,15.141698115639402,14.881532002395701,14.955841468409547,15.025254942471609,15.155214763091042,15.274512482563141,14.616279489874858,14.813733120128356,14.72091582234883,15.170054961386544,14.973582612521794,19.02719532087918
Max Drawdown [%],26.49109162818535,28.5701353239003,28.25935797214773,28.06323429156676,26.846760247947618,27.260709933859935,30.386333870388228,33.110697743098356,27.31214108433149,29.87285838134274,27.767142014355734,34.04475213166937,30.482297627493608,53.47146358990214
Max Drawdown Duration,1267 days 00:00:00,1135 days 00:00:00,1351 days 03:25:42.857142864,1329 days 20:34:17.142857136,1315 days 00:00:00,1335 days 20:34:17.142857136,1373 days 06:51:25.714285712,1484 days 17:08:34.285714288,1235 days 20:34:17.142857136,1392 days 00:00:00,1379 days 03:25:42.857142864,1417 days 10:17:08.571428576,1331 days 03:25:42.857142864,3217 days 20:34:17.142857152
Sharpe Ratio,1.4751706963683124,1.465460990648897,1.3862064726198817,1.4343656233957174,1.4175145635037467,1.4062917856158972,1.373888345645671,1.3413260329642074,1.5122203331293202,1.4498748594350062,1.4846034899473384,1.330627575716586,1.4112693079975855,0.5928807128209818
Calmar Ratio,1.0912925886699987,0.9726464802370753,0.9532030505106365,0.9818958115043481,1.0407103821143662,1.012364693238891,0.8372962445215026,0.7349862075087115,1.0588166828051266,0.8966932548983603,1.0207445617855977,0.6909687103346572,0.8575901660457829,0.21846652040885123
Omega Ratio,1.397956960440289,1.3820013368039616,1.3570949222623476,1.37727502758032,1.3710568193018713,1.3649333656907736,1.3428442121282456,1.3369269883192065,1.4074628897363513,1.371697134646156,1.4036644847345845,1.3383397233001009,1.3603338594318077,1.128897198166345
Sortino Ratio,2.392311586855833,2.3711272208374607,2.2034883481492376,2.2961079716529094,2.268647583789417,2.241713020142188,2.1645492490669387,2.116169329519255,2.45561925320485,2.3259201009103347,2.4174176746732257,2.0865372431461986,2.249411161948807,0.8552811103063063
Skew,0.818985409836703,0.7826413847823774,0.6427977212903206,0.7038253853360331,0.7103758229457208,0.6749152318760737,0.5450556923939124,0.5585903060039902,0.8089938393358757,0.707283297182239,0.8229185930652024,0.5367496375708524,0.6681016633993835,-0.1505744316432036
Kurtosis,13.609371395494511,12.944270194887721,12.17088311100164,12.893882140103871,12.76232391978859,12.533637424890788,11.520082054547908,11.533671819681969,13.716935056503456,12.130624336103992,13.299814699729408,11.744369658002379,12.088171714107842,6.7599948969133115
Tail Ratio,1.2325738077525696,1.2189241759773917,1.2008308634979605,1.2130368642145866,1.2142983321968337,1.199888951339373,1.2129315415000508,1.2033274791846744,1.2410499071303698,1.2253116924076728,1.2473834051372445,1.2009375889863736,1.2053450987146253,1.0474855218781476
Common Sense Ratio,1.4926786157114187,1.4747883025844752,1.4457312794983206,1.4646262496955866,1.4643759640297296,1.4461844142521045,1.458073881856428,1.441938934193813,1.5079093735132265,1.4809029484710354,1.5126004682160432,1.4353096914724623,1.452432740390833,1.1525824568942362
Value at Risk,-0.009457390280867133,-0.009661215265059047,-0.010105660918097769,-0.00977333186581972,-0.009788412036167923,-0.009957303208048926,-0.010172234386976889,-0.010408815268550744,-0.009407686924408798,-0.0099084834207363,-0.009536456504424636,-0.010268534746847805,-0.010034008551227146,-0.015428560133431227
Alpha,0.13909952419162602,0.13763738221253805,0.12945380385730362,0.13448734187203545,0.1327554171789868,0.13157740125463036,0.12787824936139272,0.12320968319807028,0.14197899963034966,0.13501920458067437,0.13978449617882435,0.12106954385086137,0.13057967403588663,0.013536456579820944
Beta,0.40733522936563693,0.4098591648476481,0.4255761128885823,0.4149514540128289,0.4174296049410276,0.4209900147952151,0.42526087339516305,0.4280881247434805,0.40738943150989815,0.4139627090430512,0.40758288212781446,0.4246655128580728,0.4209160439088784,0.5511023780132114
